"Time","PopulationSize","CooperatorProportion","MinCooperatorFitness","MaxCooperatorFitness","MeanCooperatorFitness","MinDefectorFitness","MaxDefectorFitness","MeanDefectorFitness","ShannonIndex","SimpsonIndex","GenomeLength","Alleles","Delta","Epsilon","PopsizeMax","Replicate"
0,5,0.8,0.9,0.9,0.9,1,1,1,0,1,5,6,0.3,0.00015,1100,"0"
1,468,0.861111111111,0.9,0.9,0.9,1,1,1,0,1,5,6,0.3,0.00015,1100,"0"
2,925,0.83027027027,0.9,0.9,0.9,1,1,1,0,1,5,6,0.3,0.00015,1100,"0"
3,1970,0.820304568528,0.9,0.9,0.9,1,1,1,0,1,5,6,0.3,0.00015,1100,"0"
4,3038,0.823568136932,0.9,0.9,0.9,1,1,1,0,1,5,6,0.3,0.00015,1100,"0"
5,4525,0.857237569061,0.9,0.9,0.9,1,1,1,0,1,5,6,0.3,0.00015,1100,"0"
6,5848,0.864056087551,0.9,0.9,0.9,1,1,1,0,1,5,6,0.3,0.00015,1100,"0"
7,7240,0.878867403315,0.9,0.9,0.9,1,1,1,0,1,5,6,0.3,0.00015,1100,"0"
8,9621,0.908013719988,0.9,1.2,0.900037671703,1,1,1,0.00105723433291,0.999792143008,5,6,0.3,0.00015,1100,"0"
9,12788,0.908116984673,0.9,0.90015,0.900000245415,1,1,1,0,1,5,6,0.3,0.00015,1100,"0"
10,15749,0.921836307067,0.9,1.20015,0.900043487395,1,1,1,0.00135430422902,0.999746039811,5,6,0.3,0.00015,1100,"0"
11,19325,0.930142302717,0.9,1.22625,0.900546275382,1,1,1,0.0100188356924,0.997518918078,5,6,0.3,0.00015,1100,"0"
12,22401,0.930270970046,0.9,1.25265,0.901335675896,1,1,1,0.019459511961,0.994479375258,5,6,0.3,0.00015,1100,"0"
13,26293,0.937055490054,0.9,1.25625,0.90270871824,1,1,1,0.0364549757733,0.988427919627,5,6,0.3,0.00015,1100,"0"
14,29563,0.934072996651,0.9,1.27365,0.903288440646,1,1,1,0.0431871976581,0.985957414565,5,6,0.3,0.00015,1100,"0"
15,33001,0.936183752008,0.9,1.2876,0.903359878621,1,1.00015,1.00000605413,0.0424451198204,0.986096741624,5,6,0.3,0.00015,1100,"0"
16,35895,0.939713051957,0.9,1.29975,0.903999624974,1,1.00015,1.00000048521,0.0484307232002,0.98364163667,5,6,0.3,0.00015,1100,"0"
17,39466,0.940531090052,0.9,1.31355,0.904274638325,1,1.00015,1.0000005752,0.0527877045103,0.982167181968,5,6,0.3,0.00015,1100,"0"
18,42470,0.934330115376,0.9,1.31595,0.904367441597,1,1.00015,1.00000387236,0.0537250534577,0.981797674991,5,6,0.3,0.00015,1100,"0"
19,45542,0.934126740152,0.9,1.32885,0.905812907245,1,1.30015,1.00010745,0.0679513494029,0.975915008006,5,6,0.3,0.00015,1100,"0"
20,48540,0.93022249691,0.9,1.329,0.906036990898,1,1.3,1.00011262179,0.0711609309063,0.974608900454,5,6,0.3,0.00015,1100,"0"
21,51718,0.927936115086,0.9,1.6161,0.90682426705,1,1.3,1.0002457875,0.0780994461433,0.97211180802,5,6,0.3,0.00015,1100,"0"
22,53691,0.923506732972,0.9,1.3317,0.908912025048,1,1.3,1.00043849525,0.0986934760946,0.963156774245,5,6,0.3,0.00015,1100,"0"
23,55140,0.92633297062,0.9,1.33665,0.911004040879,1,1.3,1.00066469719,0.119548102323,0.954300874129,5,6,0.3,0.00015,1100,"0"
24,57946,0.92741517965,0.9,1.36425,0.91241309732,1,1.3,1.00092788873,0.131042620792,0.948470568937,5,6,0.3,0.00015,1100,"0"
25,59791,0.926360154538,0.9,1.36425,0.914318551852,1,1.3,1.00170794913,0.14776104163,0.940820990399,5,6,0.3,0.00015,1100,"0"
26,62153,0.926970540441,0.9,1.3635,0.915321065192,1,1.3,1.00186437541,0.159694262669,0.935949708502,5,6,0.3,0.00015,1100,"0"
27,64199,0.925621894422,0.9,1.36425,0.917603352181,1,1.3,1.00265309948,0.179154399411,0.927206680208,5,6,0.3,0.00015,1100,"0"
28,65481,0.925199676242,0.9,1.36425,0.919347058581,1,1.3,1.00596909963,0.200669417066,0.918617459177,5,6,0.3,0.00015,1100,"0"
29,66034,0.92412999364,0.9,1.36425,0.921896821742,1,1.3,1.00703278443,0.225810054626,0.907513471179,5,6,0.3,0.00015,1100,"0"
30,66975,0.925658827921,0.9,1.35015,0.924135415188,1,1.3,1.00925240008,0.244924980553,0.897925114487,5,6,0.3,0.00015,1100,"0"
31,66461,0.923789891816,0.9,1.35015,0.926954640367,1,1.3,1.00978145114,0.267283219411,0.886865533065,5,6,0.3,0.00015,1100,"0"
32,66938,0.922450625952,0.9,1.3491,0.929615570797,1,1.3,1.01256318628,0.296271382078,0.875052416524,5,6,0.3,0.00015,1100,"0"
33,66728,0.922191583743,0.9,1.3491,0.931567540952,1,1.30015,1.01285631741,0.314456380805,0.867488540892,5,6,0.3,0.00015,1100,"0"
34,66663,0.924440844246,0.9,1.34685,0.934639691851,1,1.30015,1.01650071471,0.347412481034,0.853311194975,5,6,0.3,0.00015,1100,"0"
35,66488,0.921414390567,0.9,1.34955,0.93853535821,1,1.3,1.01974961722,0.386804660338,0.83624852829,5,6,0.3,0.00015,1100,"0"
36,67207,0.921421875697,0.9,1.34955,0.94252104205,1,1.30825,1.02295051127,0.425209435381,0.819553040706,5,6,0.3,0.00015,1100,"0"
37,66917,0.919422568256,0.9,1.6392,0.945770918326,1,1.3123,1.02344242396,0.451362665228,0.80775990019,5,6,0.3,0.00015,1100,"0"
38,66534,0.91984549253,0.9,1.6344,0.949570655708,1,1.31005,1.02754411213,0.490249652112,0.790548298879,5,6,0.3,0.00015,1100,"0"
39,66900,0.919491778774,0.9,1.6344,0.953755394707,1,1.3201,1.03024198849,0.531902552582,0.772867528225,5,6,0.3,0.00015,1100,"0"
40,66598,0.917039550737,0.9,1.3521,0.957576966908,1,1.3201,1.03768328507,0.577932263225,0.754891473922,5,6,0.3,0.00015,1100,"0"
41,66816,0.914601293103,0.9,1.3521,0.962845157094,1,1.3156,1.04252707676,0.627914534051,0.733491802357,5,6,0.3,0.00015,1100,"0"
42,66742,0.915180845644,0.9,1.3521,0.967619050114,1,1.31515,1.04428216746,0.675688385301,0.713887836726,5,6,0.3,0.00015,1100,"0"
43,66860,0.913386180078,0.9,1.34985,0.97274188459,1,1.3264,1.05355126921,0.727881293477,0.691970242176,5,6,0.3,0.00015,1100,"0"
44,66809,0.913409869928,0.9,1.34985,0.977724816466,1,1.3264,1.06029761452,0.783531898535,0.669947982914,5,6,0.3,0.00015,1100,"0"
45,66042,0.916038278671,0.9,1.5,0.983475717804,1,1.32955,1.06418587917,0.835358322644,0.647856652869,5,6,0.3,0.00015,1100,"0"
46,67169,0.912772261013,0.9,1.5,0.98905519328,1,1.32955,1.06889918075,0.896699324692,0.624970822447,5,6,0.3,0.00015,1100,"0"
47,66582,0.914496410441,0.9,1.5,0.996370461003,1,1.3795,1.07584796241,0.960535120025,0.597554220074,5,6,0.3,0.00015,1100,"0"
48,66414,0.913256241154,0.9,1.5,1.00264880632,1,1.3837,1.08018693803,1.01171698721,0.575512810228,5,6,0.3,0.00015,1100,"0"
49,66849,0.913611273168,0.9,1.5,1.00875564643,1,1.3984,1.08959044156,1.08580387242,0.549546995922,5,6,0.3,0.00015,1100,"0"
50,66923,0.910972311462,0.9,1.50195,1.0143327606,1,1.4002,1.0963775428,1.140517109,0.527982494982,5,6,0.3,0.00015,1100,"0"
51,66650,0.912588147037,0.9,1.5,1.02264779199,1,1.44655,1.10487322348,1.20991719909,0.4992806092,5,6,0.3,0.00015,1100,"0"
52,66645,0.912281491485,0.9,1.51425,1.03111541226,1,1.4455,1.11412698426,1.28117295209,0.471249475909,5,6,0.3,0.00015,1100,"0"
53,66695,0.915780793163,0.9,1.5153,1.03831370133,1,1.44715,1.12099410717,1.34204983886,0.448315401407,5,6,0.3,0.00015,1100,"0"
54,66262,0.914309860855,0.9,1.51365,1.04491381305,1,1.6,1.131756851,1.40733380153,0.425376952229,5,6,0.3,0.00015,1100,"0"
55,66752,0.916406999041,0.9,1.64745,1.05378566092,1,1.6,1.1392686828,1.47759696395,0.39922111975,5,6,0.3,0.00015,1100,"0"
56,66765,0.916063805886,0.9,1.64985,1.06183542699,1,1.41325,1.14527607066,1.53936616311,0.376247870832,5,6,0.3,0.00015,1100,"0"
57,66347,0.916710627459,0.9,1.6491,1.07080198205,1,1.4332,1.15291663952,1.60800831428,0.352338439485,5,6,0.3,0.00015,1100,"0"
58,66702,0.915444814248,0.9,1.6494,1.07961807507,1,1.43065,1.15980303191,1.67925768043,0.328812137771,5,6,0.3,0.00015,1100,"0"
59,66729,0.91753210748,0.9,1.6488,1.08789611848,1,1.60105,1.16413772488,1.73267071291,0.310616509454,5,6,0.3,0.00015,1100,"0"
60,66584,0.917697945452,0.9,1.6488,1.09624893706,1,1.6,1.17465222628,1.79936250365,0.289589027767,5,6,0.3,0.00015,1100,"0"
61,66704,0.918010913888,0.9,1.64925,1.10693708745,1,1.7212,1.18113346133,1.87675416945,0.267186077703,5,6,0.3,0.00015,1100,"0"
62,67404,0.917972227168,0.9,1.64925,1.11468286545,1,1.7125,1.1907972599,1.93474344163,0.250056003355,5,6,0.3,0.00015,1100,"0"
63,66596,0.920040242657,0.9,1.65045,1.12341577174,1,1.43575,1.20109414085,1.99500350176,0.232533159273,5,6,0.3,0.00015,1100,"0"
64,66558,0.916689203402,0.9,1.5162,1.13152475046,1,1.43905,1.21035437331,2.05724928497,0.216576535935,5,6,0.3,0.00015,1100,"0"
65,66861,0.921359237822,0.9,1.51245,1.14350840949,1,1.441,1.21343242678,2.11005656542,0.201862136104,5,6,0.3,0.00015,1100,"0"
66,66474,0.921337665854,0.9,1.6068,1.1506485158,1,1.6,1.22207283419,2.16252293865,0.189488838557,5,6,0.3,0.00015,1100,"0"
67,66934,0.922774673559,0.9,1.6488,1.15830460941,1,1.6,1.22605008706,2.20596395883,0.179054157945,5,6,0.3,0.00015,1100,"0"
68,67046,0.922963338603,0.9,1.6476,1.16765214525,1,1.6,1.23709891578,2.24903630254,0.169430472278,5,6,0.3,0.00015,1100,"0"
69,66912,0.922913677666,0.9,1.6419,1.17623902014,1,1.6,1.24522656068,2.29065462086,0.161264539232,5,6,0.3,0.00015,1100,"0"
70,67055,0.924912385355,0.9,1.6476,1.18421859481,1,1.6,1.25005440914,2.33336341846,0.153310782083,5,6,0.3,0.00015,1100,"0"
71,66547,0.925120591462,0.9,1.64775,1.19303402232,1,1.6,1.25535963275,2.36156944206,0.149398020454,5,6,0.3,0.00015,1100,"0"
72,66983,0.925369123509,0.9,1.64925,1.2004969597,1,1.6,1.26271184237,2.3939171671,0.144882174365,5,6,0.3,0.00015,1100,"0"
73,66905,0.924370375906,0.9,1.65105,1.20738303177,1,1.705,1.26701271739,2.41821550274,0.141560681866,5,6,0.3,0.00015,1100,"0"
74,66861,0.924963730725,0.9,1.64985,1.21399120367,1,1.70545,1.27311421168,2.44623039669,0.138406512039,5,6,0.3,0.00015,1100,"0"
75,66894,0.926525547882,0.9,1.64925,1.2204818019,1,1.70245,1.27755414039,2.46781029524,0.136306281328,5,6,0.3,0.00015,1100,"0"
76,66859,0.923899549799,0.9,1.64865,1.22663688543,1,1.69735,1.28075633844,2.49050643224,0.13455953658,5,6,0.3,0.00015,1100,"0"
77,66712,0.924256505576,0.9,1.64865,1.23193115847,1,1.6,1.28287951712,2.50990724394,0.133594376774,5,6,0.3,0.00015,1100,"0"
78,66757,0.923798253367,0.9,1.6503,1.23794272012,1,1.6,1.28772432672,2.52295823185,0.133671499038,5,6,0.3,0.00015,1100,"0"
79,67021,0.924292385969,0.9,1.6503,1.24198411545,1,1.6,1.29114819669,2.53105152331,0.133928241449,5,6,0.3,0.00015,1100,"0"
80,66848,0.92309418382,0.9,1.6515,1.24704945792,1,1.6,1.29520382221,2.54178561193,0.133469395628,5,6,0.3,0.00015,1100,"0"
81,67374,0.923308694749,0.9,1.65105,1.25147400453,1,1.6,1.29840106445,2.54732047628,0.134886011436,5,6,0.3,0.00015,1100,"0"
82,66768,0.921863767074,0.9,1.6506,1.25639305698,1,1.60015,1.30213251869,2.55642160511,0.135777642067,5,6,0.3,0.00015,1100,"0"
83,66665,0.921878046951,0.9,1.64985,1.26011862196,1,1.60315,1.30310184332,2.57211768388,0.134507006341,5,6,0.3,0.00015,1100,"0"
84,67107,0.922541612648,0.9,1.8,1.26342015458,1,1.6039,1.30594006349,2.57730609405,0.135508078578,5,6,0.3,0.00015,1100,"0"
85,66855,0.921426968813,0.9,1.8,1.26654565842,1,1.6009,1.30801307824,2.59677534385,0.13343484799,5,6,0.3,0.00015,1100,"0"
86,67162,0.921145886067,0.9,1.8,1.27044306566,1,1.6015,1.31083041918,2.60122367734,0.133997656103,5,6,0.3,0.00015,1100,"0"
87,66915,0.921377867444,0.9,1.8,1.27379117819,1,1.6015,1.31249051511,2.60626622572,0.134729367582,5,6,0.3,0.00015,1100,"0"
88,66861,0.921688278668,0.9,1.8,1.27857683732,1,1.6015,1.31536537433,2.61851158278,0.13431572971,5,6,0.3,0.00015,1100,"0"
89,66864,0.918386575736,0.9,1.8,1.2820405076,1,1.6,1.3175979934,2.64089021001,0.131343487276,5,6,0.3,0.00015,1100,"0"
90,66888,0.921226527927,0.9,1.8,1.28552698924,1,1.6,1.31945382426,2.63982310374,0.133377426449,5,6,0.3,0.00015,1100,"0"
91,66827,0.920107142323,0.9,1.8009,1.28841344165,1,1.6,1.32047956546,2.64402173651,0.133828406722,5,6,0.3,0.00015,1100,"0"
92,67029,0.917453639469,0.9,1.80225,1.29126063077,1,1.6,1.32215437376,2.66132221919,0.131342763769,5,6,0.3,0.00015,1100,"0"
93,67208,0.917435424354,0.9,1.80225,1.29412163431,1,1.6,1.32379663903,2.67201654324,0.130213726763,5,6,0.3,0.00015,1100,"0"
94,66927,0.915415303241,0.9,1.80225,1.29778763833,1,1.6,1.32467827239,2.67809921036,0.131055272283,5,6,0.3,0.00015,1100,"0"
95,66755,0.916680398472,0.9,1.80225,1.30103863269,1,1.6,1.32698756742,2.69006276209,0.130500011386,5,6,0.3,0.00015,1100,"0"
96,66959,0.916053107125,0.9,1.8021,1.30485193681,1,1.6,1.32827554706,2.71165490335,0.128189109486,5,6,0.3,0.00015,1100,"0"
97,66513,0.914152120638,0.9,1.8021,1.30823108481,1,1.6006,1.32858267075,2.72459249231,0.127255603043,5,6,0.3,0.00015,1100,"0"
98,67028,0.912961747329,0.9,1.80225,1.31298217963,1,1.60105,1.33341955776,2.74405981203,0.125796859336,5,6,0.3,0.00015,1100,"0"
99,66739,0.914412862045,0.9,1.8045,1.3183942378,1,1.60105,1.3353887605,2.75894124216,0.125395532251,5,6,0.3,0.00015,1100,"0"
100,66712,0.912129751769,0.9,1.80345,1.3229572309,1,1.6279,1.33741238485,2.77350879708,0.123438470253,5,6,0.3,0.00015,1100,"0"
101,66695,0.914086513232,0.9,1.80405,1.32856643812,1,1.7251,1.34007929319,2.7836598011,0.12227741054,5,6,0.3,0.00015,1100,"0"
102,67020,0.913622799164,0.9,1.80405,1.33279565825,1.02175,1.6006,1.34342737088,2.80559337785,0.120276536594,5,6,0.3,0.00015,1100,"0"
103,66836,0.911694296487,0.9,1.80705,1.33729499705,1.01035,1.60015,1.34656417316,2.82415142827,0.118222498533,5,6,0.3,0.00015,1100,"0"
104,66822,0.912394121696,0.9,1.83465,1.34231265992,1.01035,1.60375,1.3508234028,2.83444522214,0.118707548522,5,6,0.3,0.00015,1100,"0"
105,66969,0.912870133943,0.9,1.83225,1.34758214741,1.01275,1.6108,1.35125658098,2.85864249594,0.115197256337,5,6,0.3,0.00015,1100,"0"
106,66853,0.911985999132,0.9,1.8096,1.35394226984,1.01695,1.61215,1.35549041468,2.88260586242,0.111959476819,5,6,0.3,0.00015,1100,"0"
107,66606,0.913821577636,0.9,1.8075,1.35980311093,1.01845,1.61425,1.35708252613,2.89909128498,0.110202255497,5,6,0.3,0.00015,1100,"0"
108,67053,0.911875680432,0.9,1.81155,1.36570885451,1.02835,1.6063,1.35937075647,2.92698070652,0.105854426269,5,6,0.3,0.00015,1100,"0"
109,66544,0.913335537389,0.9,1.81155,1.37244854879,1.3,1.60405,1.36176943818,2.947460557,0.103758902375,5,6,0.3,0.00015,1100,"0"
110,66495,0.913016016242,0.9,1.8111,1.37808470129,1.3,1.6159,1.36740606846,2.95603645377,0.103082990924,5,6,0.3,0.00015,1100,"0"
111,66452,0.913486426293,0.9,1.833,1.38499416009,1.3,1.61125,1.36989496434,2.98507790191,0.0989416386363,5,6,0.3,0.00015,1100,"0"
112,66656,0.915041406625,0.9,1.8276,1.39025484728,1.3,1.61275,1.37519153276,3.00025347825,0.0973042859805,5,6,0.3,0.00015,1100,"0"
113,66639,0.915755038341,0.9,1.82595,1.39837473331,1.3,1.64275,1.37685391877,3.01446032361,0.0948432984283,5,6,0.3,0.00015,1100,"0"
114,66825,0.916932285821,0.9,1.8333,1.40518324575,1.3,1.6297,1.38116748334,3.03795802936,0.0909200601434,5,6,0.3,0.00015,1100,"0"
115,66933,0.918112141993,0.9,1.9446,1.41143667985,1.3,1.62745,1.38611943076,3.04435716984,0.0897594480719,5,6,0.3,0.00015,1100,"0"
116,67051,0.918569447137,0.9,1.8492,1.41697376159,1.3,1.6306,1.39133370879,3.05005821309,0.089335106821,5,6,0.3,0.00015,1100,"0"
117,67026,0.922403246501,0.9,1.8492,1.42360154145,1.3,1.67515,1.3971865026,3.0634175346,0.0871342239833,5,6,0.3,0.00015,1100,"0"
118,66579,0.921476741916,0.9,1.9335,1.42980535199,1.3,1.6672,1.40435874139,3.07810096982,0.0845153771207,5,6,0.3,0.00015,1100,"0"
119,67056,0.923929253162,0.9,1.9443,1.43636596159,1.3,1.67425,1.4099504999,3.09151520425,0.0823840178156,5,6,0.3,0.00015,1100,"0"
120,66756,0.925280124633,0.9,1.9422,1.44207712893,1.3,1.67755,1.41738146552,3.10535255847,0.0798558329286,5,6,0.3,0.00015,1100,"0"
121,66845,0.927788166654,0.9,1.94235,1.45016911381,1.3,1.6765,1.42164142324,3.10901853695,0.0785274456279,5,6,0.3,0.00015,1100,"0"
122,67145,0.928215056966,0.90135,1.92855,1.45719624308,1.3,1.6831,1.43006384855,3.11235202559,0.0770490647617,5,6,0.3,0.00015,1100,"0"
123,67320,0.927436125966,0.9012,1.93005,1.46371256747,1.3,1.7392,1.43533101331,3.13022703514,0.0745625177185,5,6,0.3,0.00015,1100,"0"
124,66732,0.93199664329,0.9,1.93005,1.47067196112,1.3,1.678,1.4393166483,3.13039939227,0.0737332332494,5,6,0.3,0.00015,1100,"0"
125,66994,0.931770009255,0.9,1.93785,1.47819993913,1.3,1.6699,1.45298369066,3.1498885522,0.0711357862801,5,6,0.3,0.00015,1100,"0"
126,67412,0.932667774284,0.9006,1.94985,1.48471623511,1.3,1.7488,1.45994382022,3.15745887465,0.0697474553955,5,6,0.3,0.00015,1100,"0"
127,67109,0.93535889374,0.9006,1.9464,1.49049450781,1.3,1.74655,1.46835069156,3.15693537694,0.0690907255504,5,6,0.3,0.00015,1100,"0"
128,67168,0.936368508814,1.2,1.9464,1.49669276879,1.3,1.74865,1.47552562003,3.15855608927,0.0681563068781,5,6,0.3,0.00015,1100,"0"
129,67281,0.937129353012,1.2,2.04165,1.50301195937,1.3,1.70575,1.48494921986,3.15849035764,0.0672714130972,5,6,0.3,0.00015,1100,"0"
130,67290,0.939723584485,0.909,2.01435,1.50905179334,1.3,1.9,1.48896216716,3.16073838864,0.0667411044231,5,6,0.3,0.00015,1100,"0"
131,67397,0.940457290384,0.9111,1.9938,1.51600237599,1.3,1.71955,1.49128431348,3.16385347609,0.0658859131168,5,6,0.3,0.00015,1100,"0"
132,67243,0.941599869131,0.9216,1.99995,1.52096247394,1.3,1.74775,1.49947754011,3.15681066455,0.0656707459077,5,6,0.3,0.00015,1100,"0"
