Time,PopulationSize,CooperatorProportion,MinCooperatorFitness,MaxCooperatorFitness,MeanCooperatorFitness,MinDefectorFitness,MaxDefectorFitness,MeanDefectorFitness,ShannonIndex,SimpsonIndex
0,2151,0.0980939098094,3.6,3.6,3.6,2.98,2.98,2.98,0.320874565737,0.823057010665
1,2166,0.113111726685,3.4734,3.6,3.4821844898,2.9224,2.98,2.93606819365,0.352972101955,0.799365072057
2,2226,0.100628930818,3.453,3.6,3.45801160714,2.9224,2.98,2.9321957043,0.326462682201,0.8189945018
3,2106,0.0944919278253,3.453,3.4656,3.46382713568,2.9206,2.98,2.93018135815,0.312809122418,0.828873593198
4,2155,0.0844547563805,3.453,3.47745,3.47614368132,2.8189,3.30835,2.93243920426,0.29350155317,0.844506435689
5,2082,0.0850144092219,3.4656,3.48795,3.48693389831,2.91445,3.3163,2.93173614173,0.290848641361,0.844426081107
6,2057,0.0802139037433,3.47745,3.48795,3.48304272727,2.91445,3.31255,2.93275277484,0.27929148836,0.852440733221
7,2155,0.105336426914,2.9574,3.4926,3.48210991189,2.9212,3.32065,2.93444115664,0.336652529639,0.811518671842
8,2158,0.0940685820204,2.95065,3.4926,3.43604261084,2.9212,3.32065,2.9340502046,0.311851319903,0.829560632206
9,2159,0.0935618341825,2.9061,3.48255,3.44792673267,2.9206,3.32065,2.93484034236,0.313622756261,0.830297722879
10,2116,0.0883742911153,2.96205,3.47385,3.45752165775,2.9206,3.3076,2.93442340591,0.298760302786,0.83887144843
11,2146,0.101584342964,2.95065,3.47565,3.45911697248,2.9188,3.30835,2.93403029046,0.328550250396,0.817470071543
12,2189,0.0918227501142,2.94105,3.47565,3.45137014925,2.9188,3.2995,2.93424645372,0.306734840188,0.833217334649
13,2202,0.0962761126249,2.9478,3.4785,3.44905754717,2.9188,3.30955,2.93289306533,0.316822849303,0.825985954475
14,2102,0.09324452902,3.0015,3.4785,3.45198061224,2.9188,3.30535,2.93391033578,0.309980895052,0.830900026344
15,2102,0.0889628924833,2.95665,3.47925,3.45596791444,2.9188,3.3106,2.93580396867,0.300131745564,0.837903007511
16,2086,0.0901246404602,2.9526,3.47925,3.45205053191,2.92,3.30775,2.93651746575,0.302826100816,0.835995620716
17,2134,0.0862230552952,3.00315,3.47925,3.45275298913,2.92,3.30775,2.93699261538,0.293711140419,0.842422719938
18,2086,0.0843720038351,2.9751,3.4743,3.46195056818,2.9194,3.3031,2.93439363874,0.289319571172,0.845493262392
19,2128,0.103383458647,2.94735,3.48045,3.46980681818,2.9188,3.3124,2.93350621069,0.332454219903,0.81460936175
20,2097,0.0896518836433,2.9814,3.48045,3.45404760638,2.9188,3.2974,2.93395306443,0.301731668239,0.836771153195
21,2076,0.0838150289017,2.9775,3.4827,3.46687068966,2.9188,3.31255,2.93363572555,0.287989522489,0.846419860336
22,2177,0.0950849793294,2.98545,3.49455,3.47854927536,2.82115,2.9671,2.93373474619,0.318091102555,0.827081428616
23,2061,0.100921882581,2.98545,3.49455,3.46180384615,2.8198,2.96875,2.93265771722,0.331239845549,0.817654690598
24,2089,0.109143130685,2.98815,3.49455,3.45680921053,2.82055,2.97505,2.93505327781,0.348802710108,0.804685740186
25,2187,0.0992226794696,2.99715,3.49455,3.44124884793,2.917,3.01105,2.93630241117,0.323371661038,0.821244921303
26,2202,0.094459582198,3.04335,3.48,3.43383317308,2.9152,3.307,2.93557412237,0.312736015776,0.828926060942
27,2156,0.105287569573,3.03795,3.4824,3.44869229075,2.9152,3.31255,2.93463950233,0.336547997027,0.811595805467
28,2110,0.107582938389,2.9538,3.4824,3.43445154185,2.9152,3.0214,2.93633669676,0.34143185565,0.807982300487
29,2183,0.111772789739,2.95035,3.4824,3.42927971311,2.9188,3.02725,2.93773984012,0.35020580525,0.801440733574
30,2157,0.104775150672,2.95485,3.4758,3.41959646018,2.9212,3.03715,2.93698456758,0.335450123809,0.812405363052
31,2068,0.109767891683,2.95485,3.47775,3.43553590308,2.9212,3.03715,2.93727012493,0.346029783202,0.804562196723
32,2155,0.0937354988399,3.0777,3.47775,3.44365915842,2.923,3.3058,2.94110023041,0.311096255031,0.830101689806
33,2113,0.0955986748699,3.00435,3.4842,3.4644980198,2.82775,3.31435,2.93580384615,0.319352020426,0.826225276157
34,2094,0.0873925501433,2.9769,3.4842,3.46750245902,2.8288,3.3067,2.93431569859,0.30054880253,0.839618631119
