Time,PopulationSize,CooperatorProportion,MinCooperatorFitness,MaxCooperatorFitness,MeanCooperatorFitness,MinDefectorFitness,MaxDefectorFitness,MeanDefectorFitness,ShannonIndex,SimpsonIndex
0,2198,0.082347588717,3.6,3.6,3.6,2.98,2.98,2.98,0.284465887597,0.848867073301
1,2081,0.0994714079769,3.4914,3.6,3.50189275362,2.9224,2.98,2.93481366062,0.323919983294,0.820846306056
2,2200,0.107272727273,3.08295,3.6,3.43085402542,2.917,3.30055,2.94104047862,0.340775049249,0.808469421488
3,2075,0.104578313253,2.98815,3.6,3.36520368664,2.9044,3.30055,2.94190145318,0.335027650055,0.8127166207
4,2186,0.112534309241,2.98335,3.4428,3.34545670732,2.9044,3.2875,2.94833221649,0.351781337158,0.800259323031
5,2213,0.111161319476,2.96385,3.4428,3.26998597561,2.9044,3.2821,2.95716812405,0.348936488442,0.802391038944
6,2176,0.114889705882,2.96385,3.43095,3.2210394,2.9134,3.22195,2.96021806854,0.356617886309,0.796619877271
7,2274,0.117854001759,2.9664,3.33495,3.21148936567,2.9134,3.22195,2.96842711864,0.36262732091,0.792071127943
8,2264,0.112632508834,2.9478,3.336,3.17223411765,2.9206,3.22015,2.96933222997,0.351984082022,0.800107146425
9,2250,0.104444444444,2.94465,3.336,3.13888978723,2.917,3.2197,2.97318188586,0.334740089998,0.812928395062
10,2258,0.101417183348,2.94465,3.2598,3.1198919214,2.917,3.2197,2.97250680138,0.328185732167,0.81773652346
11,2253,0.111407012872,2.9193,3.2517,3.100887251,2.9152,3.1615,2.97564378122,0.349446963339,0.802009019291
12,2322,0.114987080103,2.9193,3.2517,3.0886247191,2.914,3.1615,2.97924832117,0.35681665251,0.796469896975
13,2336,0.117294520548,2.9445,3.2121,3.07763211679,2.914,3.1615,2.98403988846,0.361499627549,0.792926968005
14,2260,0.119911504425,2.9493,3.17835,3.06206180812,2.9296,3.1093,2.98400422323,0.366748632931,0.788934528937
15,2330,0.112446351931,2.95125,3.1623,3.07154770992,2.9356,3.10285,2.99076605416,0.351599656747,0.800395660263
16,2247,0.109479305741,2.94585,3.15915,3.05162012195,2.9272,3.09715,2.98467856072,0.345425313422,0.805012825289
17,2360,0.109745762712,2.949,3.1353,3.05053552124,2.9272,3.07885,2.9858999762,0.345983462233,0.804596739443
18,2334,0.117823479006,2.94855,3.162,3.055098,2.9272,3.0991,2.98482629917,0.362565876845,0.792117786398
19,2348,0.118824531516,2.94675,3.1656,3.05633548387,2.9326,3.1018,2.9870737071,0.364576391602,0.790589475548
20,2328,0.112113402062,2.9487,3.1656,3.05804367816,2.9302,3.1018,2.99112264151,0.35091122888,0.80091202572
