Time,PopulationSize,CooperatorProportion,MinCooperatorFitness,MaxCooperatorFitness,MeanCooperatorFitness,MinDefectorFitness,MaxDefectorFitness,MeanDefectorFitness,ShannonIndex,SimpsonIndex
0,2142,0.0901027077498,3.6,3.6,3.6,2.98,2.98,2.98,0.302775386956,0.836031580388
1,2164,0.0988909426987,3.4842,3.6,3.49664579439,2.9236,2.98,2.93605907692,0.322639269471,0.821776951698
2,2140,0.0967289719626,3.4728,3.6,3.47429565217,2.9218,2.98,2.93230387998,0.317835761981,0.825255044109
3,2173,0.0842153704556,3.4728,3.4842,3.47556393443,2.9206,2.98,2.93153703518,0.288945939654,0.845753716331
4,2096,0.0982824427481,3.4728,3.4902,3.4891223301,2.917,2.9446,2.93044857143,0.321292641342,0.822753991609
5,2085,0.0997601918465,2.9643,3.4902,3.47146875,2.917,2.9506,2.93312967501,0.324555741307,0.820383808061
6,2211,0.0981456354591,2.96415,3.4902,3.46207741935,2.92,3.30715,2.93503467904,0.320989308375,0.822973860601
7,2046,0.0909090909091,2.96415,3.4776,3.45742258065,2.92,3.30715,2.93241959677,0.304636097349,0.834710743802
8,2129,0.0944105213715,2.9583,3.48255,3.47394402985,2.92,3.313,2.93602860477,0.31262510658,0.829005650348
9,2120,0.0915094339623,2.9514,3.48255,3.4430443299,2.9224,3.29875,2.93438925234,0.306016262128,0.833729085084
10,2100,0.0890476190476,2.94495,3.48255,3.44876149733,2.92,3.30655,2.93646981181,0.300328806144,0.837763718821
11,2050,0.0980487804878,2.9502,3.47655,3.43018731343,2.92,3.3097,2.93631308816,0.320774430984,0.823129565735
12,2208,0.103713768116,2.95395,3.47775,3.43940764192,2.92,3.30955,2.93947688226,0.333167160947,0.814085555162
13,2150,0.104651162791,2.9421,3.47775,3.42675266667,2.9218,3.30955,2.93657379221,0.335184055803,0.812601406165
14,2091,0.0994739359158,2.9421,3.47775,3.42745889423,2.9218,3.30955,2.93781056824,0.32392555259,0.820842256022
15,2128,0.100563909774,2.952,3.4761,3.43939485981,2.9236,3.30805,2.93745517241,0.326320246116,0.819098380349
16,2190,0.089497716895,2.9574,3.4761,3.42310408163,2.9254,3.30745,2.93667234203,0.30137418055,0.837024248869
17,2136,0.107209737828,2.93925,3.49305,3.44012554585,2.9212,3.3202,2.93653350813,0.340641559774,0.808568380115
18,2086,0.097794822627,2.943,3.49305,3.40123455882,2.9212,3.30535,2.93809628055,0.320210509359,0.823538009411
19,2128,0.103853383459,2.96685,3.4968,3.43963303167,2.923,3.019,2.94289014158,0.333468154073,0.813864283594
20,2190,0.103652968037,2.9598,3.4968,3.42659801762,2.9224,3.019,2.93929521141,0.333036018092,0.814181939493
21,2142,0.106909430439,2.9643,3.4968,3.42661768559,2.9224,3.019,2.93810067956,0.340004567369,0.809040391756
