Time,PopulationSize,CooperatorProportion,MinCooperatorFitness,MaxCooperatorFitness,MeanCooperatorFitness,MinDefectorFitness,MaxDefectorFitness,MeanDefectorFitness,ShannonIndex,SimpsonIndex
0,2102,0.0965746907707,3.6,3.6,3.6,2.98,2.98,2.98,-0.0,1.0
1,2091,0.0923003347681,3.4782,3.6,3.48955958549,2.91565,2.98,2.93728074289,-0.0,1.0
2,2181,0.0907840440165,3.1626,3.6,3.27165151515,2.89,3.4066,2.95217397882,-0.0,1.0
3,2216,0.125,3.1116,3.4782,3.18805776173,2.8876,3.4066,2.9713204229,-0.0,1.0
4,2338,0.1124893071,2.9154,3.3066,3.06829961977,2.8792,3.3904,2.98628366265,-0.0,1.0
5,2276,0.100175746924,2.8548,3.3066,3.03378092105,2.8792,3.2884,2.98952910156,-0.0,1.0
6,2223,0.103463787674,2.7708,3.1884,2.99067586957,2.8708,3.2884,2.98826678374,-0.0,1.0
7,2205,0.106575963719,2.8278,3.1278,2.97642382979,2.8708,3.2884,2.99683586294,-0.0,1.0
8,2271,0.107441655658,2.8344,3.105,2.96678606557,2.8708,3.205,2.9956825851,-0.0,1.0
9,2313,0.0968439256377,2.8356,3.093,2.93245446429,2.8708,3.205,2.99182450933,-0.0,1.0
10,2295,0.100653594771,2.8302,3.0246,2.92379935065,2.8876,3.1246,2.98776940407,-0.0,1.0
11,2231,0.102196324518,2.814,3.0312,2.93886513158,2.914,3.1312,2.99450267099,-0.0,1.0
12,2193,0.108071135431,2.7954,3.036,2.92808291139,2.8954,3.136,2.9977166411,-0.0,1.0
13,2314,0.103284356093,2.8434,3.036,2.92448535565,2.8954,3.136,2.99966192771,-0.0,1.0
14,2321,0.113313227057,2.8308,3.0102,2.91664847909,2.8954,3.136,2.99794759475,-0.0,1.0
15,2280,0.119298245614,2.8308,3.0048,2.92666323529,2.92585,3.136,3.00719519422,-0.0,1.0
16,2337,0.11296534018,2.8314,3.0048,2.92564318182,2.92585,3.1048,3.00802865412,-0.0,1.0
17,2307,0.107932379714,2.8314,3.0396,2.92468192771,2.92585,3.1396,3.00332704082,-0.0,1.0
18,2347,0.123561994035,2.7912,3.0894,2.9375037931,2.8912,3.1894,3.00944893048,-0.0,1.0
19,2435,0.139219712526,2.8296,3.0894,2.94530707965,2.8912,3.1894,3.01386400286,-0.0,1.0
20,2438,0.130844954881,2.8416,3.0438,2.94117507837,2.8912,3.1438,3.01416920717,-0.0,1.0
21,2377,0.122843920909,2.835,3.0438,2.93197808219,2.9296,3.1438,3.00632431655,-0.0,1.0
22,2350,0.108936170213,2.8344,3.0438,2.91566835937,2.929,3.124,2.99983732092,-0.0,1.0
23,2243,0.104324565314,2.8374,2.9874,2.93179679487,2.9272,3.0874,2.99457523644,-0.0,1.0
24,2364,0.111252115059,2.7978,3.0702,2.94854714829,2.54185,3.1702,2.99786078058,0.0037089250604,0.999154334189
25,2314,0.113656006914,2.829,3.0726,2.95605114068,2.52145,3.1726,2.99558734764,0.0154196496025,0.995687816597
26,2256,0.111258865248,2.8008,3.0828,2.96104183267,2.5162,3.1828,2.99754386534,0.00711680677181,0.998228522207
27,2263,0.106495802033,2.805,3.0828,2.9394560166,2.56915,3.1828,2.99692796736,0.00709753198722,0.998233996964
28,2258,0.100974313552,2.8266,3.0126,2.92366973684,2.545,3.1126,2.99475482759,0.00386271624319,0.999114652675
29,2327,0.106145251397,2.8128,3.0522,2.93975283401,2.5603,3.1522,2.99799271635,0.00376111743171,0.999140893629
30,2259,0.100044267375,2.8092,3.0522,2.93281327434,2.9092,3.1522,2.99603716183,-0.0,1.0
31,2372,0.119308600337,2.8236,3.0666,2.95258144876,2.9092,3.1666,3.00449387267,-0.0,1.0
32,2309,0.125162407969,2.8038,3.0666,2.93955155709,2.9038,3.1666,3.00721779703,-0.0,1.0
33,2262,0.115826702034,2.8392,3.0666,2.92775267176,2.9038,3.1204,3.007990975,-0.0,1.0
34,2278,0.133889376646,2.8278,3.0288,2.93628098361,2.8765,3.1288,3.0104344146,0.00383267498731,0.999122422284
35,2367,0.12209547951,2.8578,3.0288,2.94105467128,2.9155,3.1288,3.01516085178,0.00370476017825,0.999155405556
36,2278,0.111062335382,2.83875,3.01665,2.93073794466,2.929,3.11665,3.00583111111,-0.0,1.0
37,2377,0.111905763568,2.81895,3.0522,2.94212988722,2.91895,3.1522,3.00644128375,-0.0,1.0
38,2360,0.0936440677966,2.7708,3.0522,2.92364660633,2.8708,3.1522,3.00159474053,-0.0,1.0
39,2263,0.0897039328325,2.80485,3.0288,2.91955714286,2.8708,3.1288,2.9939368932,-0.0,1.0
40,2205,0.0775510204082,2.8266,2.9724,2.90127368421,2.90485,3.1288,2.98523938053,-0.0,1.0
41,2383,0.0809903483005,2.8206,2.9742,2.91942046632,2.9206,3.1228,2.98954835616,-0.0,1.0
42,2230,0.0789237668161,2.8128,2.985,2.91513664773,2.9128,3.085,2.98436927945,-0.0,1.0
43,2270,0.0762114537445,2.7936,2.9862,2.92100462428,2.8936,3.0862,2.98661938484,-0.0,1.0
44,2268,0.0859788359788,2.817,3.0174,2.92867384615,2.8936,3.1174,2.98689319826,-0.0,1.0
45,2265,0.082119205298,2.4621,3.0174,2.89907741935,2.8936,3.1174,2.97975880231,0.00385214536639,0.999117387639
46,2265,0.0949227373068,2.8062,3.0288,2.93996790698,2.9062,3.1288,2.99124546341,-0.0,1.0
47,2232,0.101254480287,2.814,3.0288,2.92274004425,2.9062,3.1288,2.99212248255,-0.0,1.0
48,2355,0.108704883227,2.814,3.0522,2.93677851562,2.914,3.1522,3.0009308242,-0.0,1.0
49,2356,0.110356536503,2.8074,3.0606,2.94675173077,2.9074,3.1606,3.00543272901,-0.0,1.0
50,2359,0.104705383637,2.8086,3.0606,2.92344291498,2.9074,3.1606,2.99803806818,-0.0,1.0
51,2285,0.105470459519,2.8134,3.0606,2.93242157676,2.9074,3.1606,2.99925313112,-0.0,1.0
52,2303,0.12505427703,2.7984,3.0786,2.94981458333,2.8984,3.1786,3.00617548387,-0.0,1.0
53,2394,0.114035087719,2.8044,3.0888,2.93984065934,2.54635,3.1888,3.00803769448,0.00366771595721,0.999164927077
54,2314,0.119273984443,2.8284,3.0888,2.92960271739,2.9284,3.1888,3.00727144259,-0.0,1.0
55,2367,0.110688635403,2.7984,3.0396,2.93632385496,2.8984,3.1888,3.01040396675,-0.0,1.0
56,2286,0.116797900262,2.8194,3.0396,2.92306292135,2.8984,3.1888,3.00160475483,0.00382079618976,0.999125492078
57,2337,0.115960633291,2.7996,3.0156,2.93056162362,2.8996,3.1156,3.0097910455,-0.0,1.0
58,2376,0.0997474747475,2.7996,3.0156,2.92181012658,2.8996,3.1156,3.00673120617,-0.0,1.0
59,2333,0.0857265323618,2.7996,2.9976,2.912355,2.8996,3.1156,2.99520443038,-0.0,1.0
60,2280,0.0859649122807,2.8044,2.9844,2.90959056122,2.8996,3.0844,2.98938853167,-0.0,1.0
61,2230,0.0829596412556,2.8332,2.9976,2.90240351351,2.9044,3.0976,2.98574892421,-0.0,1.0
62,2227,0.0889088459811,2.8104,2.9976,2.90863030303,2.9044,3.0976,2.98795096106,-0.0,1.0
63,2283,0.0801576872536,2.7912,2.9652,2.89643934426,2.8912,3.0652,2.98930142857,-0.0,1.0
