Time,PopulationSize,CooperatorProportion,MinCooperatorFitness,MaxCooperatorFitness,MeanCooperatorFitness,MinDefectorFitness,MaxDefectorFitness,MeanDefectorFitness,ShannonIndex,SimpsonIndex
0,2084,0.0873320537428,3.6,3.6,3.6,2.98,2.98,2.98,-0.0,1.0
1,2100,0.0933333333333,3.4908,3.6,3.50138571429,2.9248,2.98,2.93799369748,-0.0,1.0
2,2109,0.0919867235657,3.1734,3.6,3.27407938144,2.8798,3.3808,2.95318109661,-0.0,1.0
3,2231,0.123263110713,3.072,3.4908,3.23141890909,2.8798,3.4114,2.97630306748,-0.0,1.0
4,2273,0.0950285965684,2.8962,3.4908,3.07905277778,2.8618,3.4114,2.98023626641,-0.0,1.0
5,2193,0.078887368901,2.8332,3.2832,3.00585780347,2.8618,3.4114,2.97237881188,-0.0,1.0
6,2193,0.0816233470132,2.8284,3.1392,2.9926122905,2.902,3.2392,2.97411469712,-0.0,1.0
7,2157,0.0792767732962,2.823,3.1392,2.96145263158,2.902,3.2392,2.97875075529,-0.0,1.0
8,2158,0.0741427247451,2.8386,3.1194,2.91102375,2.9062,3.2392,2.96868288288,-0.0,1.0
9,2232,0.0797491039427,2.8386,2.985,2.92188202247,2.8864,3.2038,2.97598344693,-0.0,1.0
10,2155,0.0696055684455,2.8086,2.985,2.90848,2.8864,3.085,2.97660648379,-0.0,1.0
11,2218,0.07303877367,2.7702,3.0048,2.90904444444,2.8702,3.1048,2.97957509728,-0.0,1.0
12,2169,0.0751498386353,2.8098,3.0048,2.90060245399,2.8702,3.1048,2.97578504487,-0.0,1.0
13,2175,0.0652873563218,2.8422,2.9748,2.89789014085,2.9098,3.1048,2.97863797344,-0.0,1.0
14,2190,0.0547945205479,2.79,2.9538,2.887015,2.89,3.0748,2.97248347826,-0.0,1.0
15,2080,0.0629807692308,2.79,2.952,2.8920870229,2.89,3.0748,2.97043571062,-0.0,1.0
16,2158,0.0583873957368,2.8134,2.982,2.9012952381,2.9116,3.082,2.97788051181,-0.0,1.0
17,2169,0.0442600276625,2.7804,2.982,2.878375,2.8804,3.082,2.9690642547,-0.0,1.0
18,2168,0.0428966789668,2.811,2.9388,2.88376774194,2.8804,3.082,2.96063575904,-0.0,1.0
19,2166,0.0415512465374,2.823,2.9328,2.87011333333,2.9074,3.052,2.95581271676,-0.0,1.0
20,2143,0.0433971068595,2.7846,2.9328,2.87640645161,2.8552,3.0328,2.95816468293,-0.0,1.0
21,2183,0.0554283096656,2.817,2.9412,2.88321818182,2.8552,3.0412,2.96448962173,-0.0,1.0
22,2119,0.044360547428,2.8218,2.9412,2.87207234043,2.8552,3.0412,2.96403644444,-0.0,1.0
23,2189,0.0424851530379,2.8122,2.949,2.88025806452,2.9122,3.049,2.9611375,-0.0,1.0
24,2115,0.0491725768322,2.8152,2.982,2.89063846154,2.8786,3.082,2.96231715564,-0.0,1.0
25,2089,0.0382958353279,2.8152,2.982,2.88384,2.8786,3.082,2.96290821304,-0.0,1.0
26,2081,0.0389235944258,2.787,2.9232,2.87025185185,2.8768,3.0238,2.9590225,-0.0,1.0
27,2099,0.0357313006193,2.7444,2.9256,2.877944,2.8444,3.0256,2.95830217391,-0.0,1.0
28,2160,0.0425925925926,2.8092,2.9748,2.89614130435,2.8444,3.0748,2.95842930368,-0.0,1.0
29,2075,0.055421686747,2.7612,2.9796,2.9057426087,2.8612,3.0796,2.96104642857,-0.0,1.0
30,2164,0.0573012939002,2.8254,3.024,2.92830483871,2.8612,3.124,2.96861852941,-0.0,1.0
31,2113,0.0544249881685,2.8158,3.024,2.90737565217,2.8612,3.124,2.96712102102,-0.0,1.0
32,2118,0.0533522190746,2.7972,3.0048,2.9303840708,2.8612,3.124,2.96946394015,-0.0,1.0
33,2123,0.0635892604805,2.7972,3.0348,2.94524444444,2.8834,3.1348,2.96724366197,-0.0,1.0
34,2176,0.0684742647059,2.8104,3.0348,2.94649932886,2.8834,3.1348,2.97432382832,-0.0,1.0
35,2241,0.0771976796073,2.811,3.0348,2.94328786127,2.893,3.1348,2.97096576402,-0.0,1.0
36,2187,0.0859625057156,2.802,3.0162,2.93812021277,2.902,3.1348,2.9824018009,-0.0,1.0
37,2189,0.0845134764733,2.8212,3.03,2.93734378378,2.902,3.13,2.9857760479,-0.0,1.0
38,2153,0.0794240594519,2.8092,3.03,2.90887017544,2.902,3.13,2.98043380424,-0.0,1.0
39,2267,0.0926334362594,2.8062,3.0114,2.91085142857,2.9038,3.13,2.98997948469,-0.0,1.0
40,2299,0.1004784689,2.8278,3.0114,2.92367792208,2.9038,3.1114,2.99222746615,-0.0,1.0
41,2297,0.0914235959948,2.8284,3.0012,2.92345142857,2.9062,3.1114,2.99458342118,-0.0,1.0
42,2330,0.1,2.8206,2.994,2.91150901288,2.9122,3.1114,2.99659570815,-0.0,1.0
43,2315,0.0946004319654,2.835,2.9856,2.90999726027,2.9206,3.094,2.99502318702,-0.0,1.0
44,2388,0.0979899497487,2.8266,3.0288,2.91366410256,2.9206,3.1288,2.99566239554,-0.0,1.0
45,2271,0.102597974461,2.7984,3.0288,2.90514334764,2.8984,3.1288,2.99610314033,-0.0,1.0
46,2320,0.101293103448,2.7984,2.982,2.9137812766,2.8984,3.1288,3.00104,-0.0,1.0
47,2263,0.0998674326116,2.82,3.0216,2.91718938053,2.8984,3.1216,2.99921826215,-0.0,1.0
48,2323,0.101162290142,2.808,3.0216,2.91884170213,2.908,3.1216,2.99792385057,-0.0,1.0
49,2296,0.108013937282,2.808,3.0264,2.92517903226,2.908,3.1264,3.00313076172,-0.0,1.0
50,2313,0.092952875054,2.8278,3.0564,2.93547348837,2.908,3.1564,3.00410181125,-0.0,1.0
51,2254,0.0834072759539,2.814,3.0564,2.90519361702,2.914,3.1564,2.9891106486,-0.0,1.0
52,2203,0.0708125283704,2.8296,2.9466,2.88830384615,2.914,3.1564,2.98155671715,-0.0,1.0
53,2190,0.0698630136986,2.8302,3.0414,2.91330980392,2.9296,3.1414,2.97677437408,-0.0,1.0
54,2136,0.0688202247191,2.7804,3.0414,2.90460816327,2.8804,3.1414,2.97646395173,-0.0,1.0
55,2244,0.0770944741533,2.8122,3.0228,2.92593294798,2.8804,3.1414,2.98369502656,-0.0,1.0
56,2220,0.0828828828829,2.799,3.0228,2.90796521739,2.8804,3.1228,2.98181797642,-0.0,1.0
57,2265,0.080353200883,2.7804,3.0138,2.93008021978,2.8804,3.1228,2.98927710034,-0.0,1.0
58,2224,0.0723920863309,2.7906,3.0138,2.90328074534,2.8804,3.1138,2.97625777993,-0.0,1.0
59,2227,0.0682532555007,2.7936,2.9808,2.90996842105,2.8906,3.1138,2.97776048193,-0.0,1.0
60,2272,0.0695422535211,2.8056,2.9778,2.90658227848,2.8936,3.1138,2.97826102176,-0.0,1.0
61,2232,0.076164874552,2.8002,2.9778,2.90644941176,2.9002,3.0778,2.97821687682,-0.0,1.0
62,2191,0.0771337288909,2.7888,3.0288,2.91693017751,2.8888,3.1288,2.98145281899,-0.0,1.0
63,2225,0.0759550561798,2.7732,3.0288,2.89436094675,2.8732,3.1288,2.97599815175,-0.0,1.0
64,2215,0.0762979683973,2.805,3.0288,2.91251715976,2.8732,3.1288,2.98247243402,-0.0,1.0
65,2204,0.0698729582577,2.82,2.9748,2.90825844156,2.905,3.0748,2.97890536585,-0.0,1.0
66,2179,0.0670032124828,2.8086,2.9712,2.90423835616,2.9086,3.0748,2.97172395475,-0.0,1.0
67,2160,0.0569444444444,2.8326,2.9748,2.89145365854,2.9086,3.0748,2.97016318115,-0.0,1.0
68,2201,0.0667878237165,2.766,3.0042,2.9239755102,2.866,3.1042,2.9727459591,-0.0,1.0
69,2139,0.0589060308555,2.8362,3.015,2.91666666667,2.866,3.115,2.97198002981,-0.0,1.0
70,2142,0.0485527544351,2.7978,3.015,2.90115,2.866,3.115,2.96463052012,-0.0,1.0
71,2111,0.0530554239697,2.8128,3.015,2.90415,2.866,3.115,2.96132406203,-0.0,1.0
72,2202,0.0522252497729,2.7804,2.9574,2.89802086957,2.866,3.0574,2.96377182559,-0.0,1.0
73,2074,0.0491803278689,2.8194,2.9706,2.90638235294,2.8804,3.0706,2.9635301217,-0.0,1.0
74,2218,0.0536519386835,2.82,3.018,2.92492941176,2.8786,3.118,2.96561486422,-0.0,1.0
75,2089,0.0612733365247,2.8068,3.018,2.896565625,2.8786,3.118,2.96617735849,-0.0,1.0
76,2115,0.05768321513,2.8068,3.018,2.89818688525,2.8936,3.0622,2.96916206724,-0.0,1.0
77,2172,0.0584714548803,2.8194,2.9808,2.90587559055,2.9134,3.0808,2.96934376528,-0.0,1.0
78,2212,0.0623869801085,2.8146,2.9808,2.90883913043,2.9056,3.0808,2.97037425265,-0.0,1.0
79,2220,0.0707207207207,2.8152,2.9862,2.92147261146,2.9038,3.0862,2.97565370819,-0.0,1.0
80,2171,0.0704744357439,2.7846,2.9874,2.91764705882,2.8846,3.0874,2.97642854311,-0.0,1.0
81,2091,0.06456241033,2.8116,2.9874,2.9136,2.8846,3.0874,2.97369570552,-0.0,1.0
82,2241,0.070058009817,2.8506,2.964,2.90912866242,2.8846,3.0874,2.97472725528,-0.0,1.0
83,2200,0.0718181818182,2.8242,2.994,2.91476582278,2.8756,3.094,2.97464877571,-0.0,1.0
84,2149,0.0707305723592,2.7786,3.0012,2.92276973684,2.8756,3.1012,2.97679539309,-0.0,1.0
85,2199,0.0700318326512,2.7966,3.0018,2.92171948052,2.8786,3.1018,2.97405545232,-0.0,1.0
86,2179,0.0628728774667,2.7882,3.0246,2.92444379562,2.8882,3.1246,2.97806542605,-0.0,1.0
87,2199,0.06230104593,2.8164,3.0246,2.8978379562,2.8882,3.1246,2.97113355965,-0.0,1.0
88,2248,0.0751779359431,2.8164,3.0186,2.91130295858,2.9122,3.1246,2.97344733045,-0.0,1.0
89,2207,0.072043497961,2.8272,3.0186,2.91480754717,2.8672,3.1186,2.97721005859,-0.0,1.0
90,2379,0.0773434216057,2.8068,3.021,2.91644673913,2.8672,3.121,2.97959954442,-0.0,1.0
91,2141,0.0672582905184,2.7402,3.021,2.89722916667,2.8402,3.121,2.97170816224,-0.0,1.0
92,2237,0.0652659812249,2.7894,3.0264,2.92410821918,2.8402,3.1264,2.97364275466,-0.0,1.0
93,2072,0.0646718146718,2.7882,3.0414,2.92921791045,2.8402,3.1414,2.9751123839,-0.0,1.0
94,2141,0.0737972909855,2.7726,3.0414,2.91853670886,2.8726,3.1414,2.97486414523,-0.0,1.0
95,2266,0.0772285966461,2.7726,3.0162,2.92750971429,2.8726,3.1414,2.98524505022,-0.0,1.0
96,2318,0.072044866264,2.8164,3.0162,2.92051976048,2.875,3.1162,2.97959274756,-0.0,1.0
