Time,PopulationSize,CooperatorProportion,MinCooperatorFitness,MaxCooperatorFitness,MeanCooperatorFitness,MinDefectorFitness,MaxDefectorFitness,MeanDefectorFitness,ShannonIndex,SimpsonIndex
0,2222,0.0922592259226,3.6,3.6,3.6,2.98,2.98,2.98,-0.0,1.0
1,2159,0.0866141732283,3.477,3.6,3.49410160428,2.9158,2.98,2.93496348884,-0.0,1.0
2,2107,0.0925486473659,2.868,3.6,3.46407384615,2.9158,3.5716,2.93328410042,-0.0,1.0
3,2124,0.107815442561,2.8572,3.477,3.45607598253,2.9194,3.5722,2.93471693931,-0.0,1.0
4,2035,0.0928746928747,2.88,3.477,3.4488952381,2.9194,3.5722,2.93656175515,-0.0,1.0
5,2113,0.10127780407,2.8374,3.477,3.44868224299,2.923,3.577,2.93634154818,-0.0,1.0
6,2120,0.0957547169811,2.8446,3.477,3.43336551724,2.9176,3.5704,2.93768638498,-0.0,1.0
7,2117,0.0977798771847,2.8536,3.477,3.43687826087,2.9176,3.5704,2.93912020942,-0.0,1.0
8,2168,0.0862546125461,2.8326,3.4704,3.42422245989,2.9188,3.568,2.93894467441,-0.0,1.0
9,2127,0.0944992947814,2.841,3.4746,3.43231641791,2.9176,2.9872,2.93568037383,-0.0,1.0
10,2160,0.109722222222,2.8476,3.492,3.42579746835,2.9176,3.0604,2.93973884555,-0.0,1.0
11,2120,0.11320754717,2.8476,3.492,3.42771,2.9176,3.0604,2.94100893617,-0.0,1.0
12,2139,0.103786816269,2.8506,3.492,3.39375675676,2.9212,3.5392,2.94185007825,-0.0,1.0
13,2167,0.0955237655745,2.8686,3.4764,3.39463478261,2.9242,3.5506,2.94231081633,-0.0,1.0
14,2118,0.0925401322002,2.8554,3.4506,3.40178265306,2.9206,3.547,2.94003694069,-0.0,1.0
15,2207,0.0956048935206,2.8554,3.4506,3.38167677725,2.9194,3.547,2.94255561122,-0.0,1.0
16,2145,0.0927738927739,2.8446,3.4476,3.39490251256,2.9194,3.5476,2.94140668037,-0.0,1.0
17,2127,0.100141043724,2.8362,3.4494,3.38212394366,2.9194,3.5494,2.94096175549,-0.0,1.0
18,2124,0.118173258004,2.8362,3.4548,3.34768685259,2.9194,3.5548,2.94313764015,-0.0,1.0
19,2137,0.114646700983,2.8794,3.4548,3.32917714286,2.9194,3.5542,2.9502051797,-0.0,1.0
20,2202,0.115349682107,2.8794,3.4764,3.3414519685,2.9194,3.5764,2.95145533881,-0.0,1.0
21,2133,0.122831692452,2.8452,3.4764,3.34122824427,2.9188,3.5692,2.95257156601,-0.0,1.0
22,2222,0.124212421242,2.8824,3.4692,3.29798043478,2.9188,3.5692,2.9552705036,-0.0,1.0
23,2173,0.133916244823,2.8446,3.4692,3.30904948454,2.92,3.5572,2.95928469713,-0.0,1.0
24,2248,0.118327402135,2.841,3.4572,3.2609887218,2.92,3.5566,2.96264540868,-0.0,1.0
25,2217,0.127198917456,2.8398,3.462,3.29521702128,2.9194,3.562,2.9581475969,-0.0,1.0
26,2243,0.137316094516,2.835,3.462,3.29123766234,2.9194,3.5542,2.95947348837,-0.0,1.0
27,2194,0.122607110301,2.835,3.462,3.26610780669,2.9194,3.5542,2.96602794805,-0.0,1.0
28,2226,0.118598382749,2.8536,3.4368,3.29251590909,2.9194,3.5368,2.96132201835,-0.0,1.0
29,2213,0.123361952101,2.8434,3.4368,3.28107032967,2.9194,3.5302,2.9591357732,-0.0,1.0
30,2287,0.12068211631,2.8506,3.4386,3.27431304348,2.9218,3.5386,2.95955464943,-0.0,1.0
31,2207,0.118713185319,2.8608,3.4644,3.32269007634,2.9218,3.5644,2.95633192802,-0.0,1.0
32,2190,0.127397260274,2.8458,3.4656,3.32323655914,2.9206,3.5656,2.95558744113,-0.0,1.0
33,2164,0.121072088725,2.8458,3.4656,3.31512824427,2.9206,3.5656,2.95599305994,-0.0,1.0
34,2177,0.118511713367,2.841,3.4656,3.28424418605,2.9206,3.5452,2.95654747264,-0.0,1.0
35,2263,0.12859036677,2.841,3.4656,3.30359587629,2.9218,3.5542,2.95811338742,-0.0,1.0
36,2131,0.110746128578,2.8464,3.4542,3.26476016949,2.9236,3.5542,2.9548794723,-0.0,1.0
37,2254,0.128660159716,2.8422,3.4794,3.31221724138,2.9266,3.5794,2.96038665988,-0.0,1.0
38,2194,0.118960802188,2.832,3.4794,3.24468505747,2.9254,3.5794,2.96413988619,-0.0,1.0
39,2268,0.107142857143,2.8398,3.4794,3.24708148148,2.9254,3.508,2.96253392593,-0.0,1.0
40,2213,0.113420695888,2.8338,3.4794,3.27054741036,2.9194,3.526,2.95916422018,-0.0,1.0
41,2241,0.120481927711,2.841,3.441,3.30097111111,2.9194,3.541,2.96279604262,-0.0,1.0
42,2240,0.104910714286,2.829,3.441,3.28577361702,2.9194,3.541,2.95895481297,-0.0,1.0
43,2198,0.100545950864,2.8392,3.441,3.25204072398,2.9212,3.4984,2.95743550835,-0.0,1.0
44,2181,0.0898670334709,2.8392,3.441,3.24571836735,2.9182,3.4984,2.96198458438,-0.0,1.0
45,2155,0.10626450116,2.8392,3.3984,3.22394672489,2.914,3.4984,2.96207632399,-0.0,1.0
46,2201,0.094956837801,2.841,3.3534,3.22081722488,2.914,3.4534,2.96002319277,-0.0,1.0
47,2179,0.110142267095,2.8284,3.3918,3.24985,2.914,3.4918,2.95852160908,-0.0,1.0
48,2192,0.103102189781,2.8254,3.4032,3.26750442478,2.9254,3.5032,2.96041637843,-0.0,1.0
49,2195,0.113439635535,2.8254,3.408,3.25276144578,2.9248,3.508,2.95646495375,-0.0,1.0
50,2193,0.119471044232,2.844,3.408,3.24419541985,2.9206,3.508,2.96104205075,-0.0,1.0
51,2303,0.132435953105,2.841,3.408,3.23227278689,2.9206,3.4978,2.96666606607,-0.0,1.0
52,2189,0.123343992691,2.8326,3.408,3.21921333333,2.9224,3.4978,2.97060041688,-0.0,1.0
53,2280,0.123245614035,2.8344,3.3978,3.19488896797,2.9224,3.4804,2.96764162081,-0.0,1.0
54,2264,0.131625441696,2.8428,3.417,3.26072818792,2.9194,3.517,2.96690773143,-0.0,1.0
55,2243,0.121711992867,2.832,3.417,3.24235604396,2.9194,3.517,2.96758365482,-0.0,1.0
56,2202,0.120345140781,2.838,3.417,3.25134113208,2.9194,3.5104,2.96713391843,-0.0,1.0
57,2208,0.119112318841,2.8374,3.4104,3.22171254753,2.92,3.5104,2.96325614396,-0.0,1.0
58,2298,0.119234116623,2.8332,3.4044,3.24224671533,2.9248,3.5044,2.96659397233,-0.0,1.0
59,2252,0.110568383659,2.8266,3.4044,3.22051084337,2.9206,3.5044,2.96246669995,-0.0,1.0
60,2261,0.128704113224,2.8266,3.4392,3.26673608247,2.9206,3.5392,2.96205329949,-0.0,1.0
61,2234,0.132497761862,2.8434,3.4392,3.26161418919,2.9206,3.5392,2.96200619195,-0.0,1.0
62,2181,0.127922971114,2.8446,3.4392,3.29398494624,2.9206,3.5386,2.9631126183,-0.0,1.0
63,2226,0.123989218329,2.8398,3.4386,3.25223695652,2.9224,3.5386,2.96375969231,-0.0,1.0
64,2198,0.128753412193,2.838,3.4458,3.26111448763,2.9236,3.5458,2.96607122715,-0.0,1.0
65,2264,0.11351590106,2.8344,3.4458,3.24212918288,2.9236,3.5008,2.9648568012,-0.0,1.0
66,2230,0.122421524664,2.8386,3.4458,3.24941538462,2.9242,3.5008,2.96093765968,-0.0,1.0
67,2263,0.121520106054,2.841,3.4092,3.23020581818,2.923,3.5092,2.96335663984,-0.0,1.0
68,2299,0.1183123097,2.8374,3.4092,3.22423014706,2.923,3.5038,2.96602979773,-0.0,1.0
69,2230,0.12197309417,2.8356,3.4212,3.24945441176,2.923,3.5212,2.96881327886,-0.0,1.0
70,2187,0.122085048011,2.85,3.4212,3.26021797753,2.923,3.5212,2.964643125,-0.0,1.0
71,2155,0.113689095128,2.8398,3.4212,3.21446204082,2.9218,3.5134,2.96448638743,-0.0,1.0
72,2211,0.122116689281,2.8332,3.4134,3.22123111111,2.9218,3.5134,2.97224265842,-0.0,1.0
73,2270,0.114537444934,2.8404,3.4134,3.19235769231,2.923,3.5092,2.96989432836,-0.0,1.0
74,2164,0.120609981516,2.8404,3.4134,3.21887586207,2.9248,3.5008,2.97075438781,-0.0,1.0
75,2282,0.120946538124,2.8338,3.4134,3.19816086957,2.9236,3.5008,2.97205613161,-0.0,1.0
76,2262,0.102564102564,2.8338,3.4008,3.14250258621,2.9158,3.4798,2.97664472906,-0.0,1.0
77,2174,0.107635694572,2.8368,3.4008,3.11161538462,2.9158,3.4174,2.97541402062,-0.0,1.0
78,2265,0.101986754967,2.8344,3.3174,3.08272727273,2.9212,3.373,2.97631179941,-0.0,1.0
79,2198,0.0978161965423,2.8374,3.294,3.11281116279,2.9212,3.394,2.97495128593,-0.0,1.0
80,2186,0.102470265325,2.8326,3.294,3.10417232143,2.9212,3.394,2.97474036697,-0.0,1.0
81,2166,0.100646352724,2.8326,3.294,3.0905146789,2.9242,3.388,2.97689989733,-0.0,1.0
82,2234,0.0971351835273,2.8356,3.288,3.10565806452,2.9254,3.3796,2.9778588002,-0.0,1.0
83,2286,0.0949256342957,2.8458,3.2796,3.08163041475,2.9218,3.3796,2.97376887385,-0.0,1.0
84,2296,0.104529616725,2.8368,3.2796,3.0821375,2.9218,3.37,2.97542324903,-0.0,1.0
85,2206,0.1092475068,2.8338,3.27,3.07665560166,2.9236,3.37,2.97996519084,-0.0,1.0
86,2200,0.106818181818,2.8338,3.27,3.06798382979,2.9248,3.37,2.98013587786,-0.0,1.0
87,2307,0.104464672735,2.8506,3.27,3.07057842324,2.926,3.37,2.98159728945,-0.0,1.0
88,2182,0.0999083409716,2.8458,3.2748,3.10179908257,2.9236,3.3748,2.97857484725,-0.0,1.0
89,2249,0.0964873277012,2.8362,3.2748,3.12973824885,2.9236,3.3748,2.97594173228,-0.0,1.0
90,2206,0.0911151405258,2.8398,3.2838,3.1280358209,2.9236,3.3838,2.97192139651,-0.0,1.0
91,2221,0.085547050878,2.8356,3.2838,3.10287473684,2.9218,3.3838,2.96701713442,-0.0,1.0
92,2180,0.094495412844,2.8344,3.264,3.13471747573,2.9218,3.3838,2.96498358663,-0.0,1.0
93,2176,0.0795036764706,2.8344,3.2754,3.16159421965,2.9218,3.3754,2.96725232152,-0.0,1.0
94,2132,0.0816135084428,2.8278,3.2754,3.12622413793,2.9236,3.3754,2.96357967314,-0.0,1.0
95,2119,0.0745634733365,2.8536,3.264,3.13955696203,2.9236,3.364,2.96548403876,-0.0,1.0
96,2173,0.0681086056144,2.847,3.264,3.13491486486,2.9236,3.3388,2.96302518519,-0.0,1.0
97,2127,0.0653502585802,2.8452,3.2466,3.1096057554,2.926,3.3466,2.95841086519,-0.0,1.0
98,2136,0.061797752809,2.8452,3.2466,3.08367272727,2.9164,3.3466,2.95878982036,-0.0,1.0
99,2157,0.0676866017617,2.856,3.2466,3.11963013699,2.9164,3.3112,2.9587720537,-0.0,1.0
100,2151,0.0618317061832,2.8422,3.2112,3.09220601504,2.9188,3.3112,2.95736025768,-0.0,1.0
101,2093,0.0635451505017,2.8362,3.2364,3.12290977444,2.9188,3.3364,2.95415010204,-0.0,1.0
102,2158,0.0676552363299,2.8314,3.2484,3.12073972603,2.9194,3.3484,2.95540119284,-0.0,1.0
103,2102,0.081826831589,2.8374,3.252,3.17831860465,2.9194,3.352,2.96519554404,-0.0,1.0
104,2173,0.0773124712379,2.8452,3.252,3.13261428571,2.9224,3.352,2.95653685786,-0.0,1.0
105,2202,0.0812897366031,2.8356,3.285,3.16786256983,2.9224,3.385,2.95714572417,-0.0,1.0
106,2125,0.0729411764706,2.8476,3.2916,3.17285419355,2.9212,3.3916,2.96051705584,-0.0,1.0
107,2135,0.0651053864169,2.8296,3.2916,3.13189208633,2.9212,3.3916,2.96137234469,-0.0,1.0
108,2197,0.0705507510241,2.8296,3.2226,3.10831741935,2.9212,3.3226,2.95876493634,-0.0,1.0
109,2165,0.0766743648961,2.8326,3.2076,3.0945686747,2.923,3.3226,2.95756798399,-0.0,1.0
110,2115,0.0756501182033,2.847,3.2496,3.11146125,2.9212,3.3496,2.96658762148,-0.0,1.0
111,2206,0.0725294650952,2.8338,3.2496,3.0948525,2.9212,3.3496,2.96289941349,-0.0,1.0
112,2190,0.0703196347032,2.8338,3.2058,3.10095584416,2.9206,3.3058,2.96018408644,-0.0,1.0
113,2087,0.0790608528989,2.838,3.2202,3.09369454545,2.92,3.3202,2.96144526535,-0.0,1.0
114,2089,0.0732407850646,2.8416,3.2202,3.09771764706,2.92,3.3202,2.96723791322,-0.0,1.0
115,2213,0.069588793493,2.8368,3.2106,3.06420779221,2.92,3.3106,2.96480854784,-0.0,1.0
116,2104,0.0651140684411,2.8386,3.171,3.03570656934,2.926,3.271,2.96251001525,-0.0,1.0
117,2198,0.0677888989991,2.8308,3.171,3.02405234899,2.926,3.271,2.96322430454,-0.0,1.0
118,2162,0.0693802035153,2.8308,3.162,3.04178,2.9224,3.262,2.96176471173,-0.0,1.0
119,2112,0.0752840909091,2.8404,3.2082,3.09168301887,2.9224,3.3082,2.96687526882,-0.0,1.0
120,2125,0.0785882352941,2.844,3.2082,3.08237245509,2.923,3.3082,2.9635,-0.0,1.0
