Time,PopulationSize,CooperatorProportion,MinCooperatorFitness,MaxCooperatorFitness,MeanCooperatorFitness,MinDefectorFitness,MaxDefectorFitness,MeanDefectorFitness,ShannonIndex,SimpsonIndex
0,2082,0.101825168108,3.6,3.6,3.6,2.98,2.98,2.98,0.329074869901,0.817086393505
1,2090,0.0870813397129,3.4728,3.6,3.48607912088,2.9224,2.98,2.93753742138,0.295732587696,0.841003640027
2,2175,0.131954022989,2.8512,3.6,3.34803344948,2.8108,2.98,2.92929745763,0.390084415016,0.770915682389
3,2237,0.135896289674,2.6034,3.54,2.97025460526,2.6998,2.98,2.92598952406,0.397443544621,0.765143023747
4,2296,0.162020905923,2.5128,3.54,2.93599354839,2.6998,2.98,2.92682164761,0.44300586011,0.728459736066
5,2415,0.179710144928,2.4546,3.2742,2.90818479263,2.6446,2.971,2.93357503786,0.470953681072,0.705171182525
6,2352,0.19387755102,2.4234,3.2742,2.77560394737,2.6446,2.9908,2.93277492089,0.491796856741,0.687421907539
7,2432,0.165296052632,2.4084,3.2742,2.68545671642,2.7508,2.9908,2.93891293103,0.451891088838,0.723367368746
8,2461,0.150345388054,2.403,3.0198,2.60592,2.8144,2.9788,2.94101205165,0.426820594865,0.743826530115
9,2407,0.147071042792,2.4108,2.877,2.57765550847,2.869,2.9854,2.94146117876,0.417594691049,0.749117697672
10,2429,0.126801152738,2.4156,2.7162,2.54066493506,2.8738,2.9884,2.94753217822,0.380260272853,0.778554759196
11,2406,0.11429758936,2.4012,2.6448,2.50929818182,2.8738,2.9884,2.94878036133,0.355407212054,0.797532699147
12,2339,0.110731081659,2.4066,2.616,2.49292239382,2.8828,2.9968,2.95025600962,0.348041114944,0.803060581573
13,2295,0.0880174291939,2.4066,2.616,2.48153168317,2.8828,3.0064,2.95349973722,0.297926721207,0.839459277296
14,2299,0.0765550239234,2.4072,2.556,2.45420454545,2.875,3.0064,2.95029130947,0.270273840412,0.858611295529
15,2241,0.0544399821508,2.4072,2.5548,2.45004836066,2.875,2.9926,2.9493589429,0.213974653637,0.896999271816
16,2182,0.0467461044913,2.4078,2.51265,2.43697058824,2.8792,2.992,2.94443197115,0.193331945419,0.910794173813
17,2133,0.0356305672761,2.4078,2.55705,2.43363355263,2.8666,2.992,2.94162822071,0.159724297897,0.93118166978
18,2059,0.026226323458,2.4018,2.54535,2.43375833333,2.8666,2.98405,2.94014600998,0.123787680025,0.948897990108
