Time,PopulationSize,CooperatorProportion,MinCooperatorFitness,MaxCooperatorFitness,MeanCooperatorFitness,MinDefectorFitness,MaxDefectorFitness,MeanDefectorFitness,ShannonIndex,SimpsonIndex
0,2220,0.107207207207,3.6,3.6,3.6,2.98,2.98,2.98,0.340636195927,0.80857235614
1,2172,0.0962246777164,3.4572,3.6,3.47359808612,2.9188,2.98,2.93586744778,0.31670765572,0.82606902177
2,2063,0.100824042656,2.4084,3.6,3.47102884615,2.9164,2.98,2.93162997305,0.326889816862,0.818682889842
3,2152,0.0882899628253,2.4078,3.4758,3.44397473684,2.509,2.98,2.93378577982,0.29856346606,0.839010309421
4,2128,0.0916353383459,2.4102,3.4758,3.40934769231,2.5312,2.9452,2.93099687015,0.306305160504,0.833523393776
5,2101,0.0894811994288,2.4102,3.459,3.38174042553,2.5264,2.9458,2.93166157867,0.301335861934,0.837051371245
6,2149,0.108422522103,2.4078,3.459,3.34523690987,2.5474,2.9506,2.93201620564,0.343204476342,0.806665842392
7,2135,0.0950819672131,2.4156,3.4302,3.31407783251,2.5378,2.962,2.93447173913,0.314140570025,0.827917226552
8,2169,0.0940525587828,2.4138,3.4614,3.37333823529,2.5144,2.965,2.9342678626,0.311815026733,0.829586650062
9,2161,0.101804720037,2.4048,3.4716,3.34228909091,2.509,2.965,2.93209459042,0.329030349969,0.81711896197
10,2173,0.103083294984,2.4108,3.4716,3.32535267857,2.5132,2.9758,2.93436190354,0.331805324962,0.815085741442
11,2120,0.0966981132075,2.406,3.4716,3.30912878049,2.5132,2.9758,2.93386078329,0.317766814687,0.825304823781
12,2220,0.1,2.403,3.459,3.29433243243,2.5264,2.9698,2.93414962462,0.325082973391,0.82
13,2173,0.107225034514,2.4048,3.4428,3.23631244635,2.5264,2.9698,2.93231291237,0.340673980868,0.808544347024
14,2144,0.103544776119,2.4096,3.4428,3.23531891892,2.548,2.965,2.93492866805,0.332802554909,0.814353489084
15,2144,0.10401119403,2.4132,3.4176,3.2951838565,2.5354,2.965,2.93236637168,0.333808121671,0.813614268907
16,2107,0.0991931656383,2.4012,3.4176,3.2617492823,2.539,2.965,2.93427987355,0.323306551856,0.821292236942
17,2141,0.098552078468,2.406,3.4176,3.29621232227,2.539,2.968,2.9343157513,0.321889867185,0.822320867405
18,2204,0.0939201451906,2.4138,3.4206,3.33907246377,2.5336,2.9692,2.93410443165,0.311514990129,0.829801696964
19,2111,0.0975840833728,2.418,3.4524,3.39414757282,2.518,2.9692,2.93221425197,0.319742001153,0.82387713991
20,2158,0.098702502317,2.4024,3.4524,3.37078028169,2.518,2.9692,2.93261272494,0.32222269062,0.822079363293
21,2202,0.0844686648501,2.4066,3.4524,3.34842580645,2.518,2.9692,2.93205252976,0.289549986783,0.845332580983
22,2113,0.10127780407,2.4024,3.4302,3.31656448598,2.5306,2.9572,2.92977132701,0.327881559004,0.817958779054
23,2184,0.0902014652015,2.4066,3.4278,3.25197563452,2.5342,2.9818,2.93389828888,0.3030036924,0.835869678246
24,2094,0.0850047755492,2.4054,3.4278,3.27099101124,2.5768,2.9818,2.93121735386,0.290825750314,0.844442072634
25,2119,0.0868334119868,2.4168,3.3528,3.26286195652,2.5768,2.9644,2.93209224806,0.295149619159,0.841413258901
26,2085,0.0925659472422,2.4198,3.3612,3.2656880829,2.5708,2.9644,2.9315887685,0.308434631727,0.832005014693
27,2159,0.0912459471978,2.4168,3.3612,3.27916142132,2.5702,2.962,2.9334266055,0.305411051873,0.834159751364
28,2187,0.0855052583448,2.4168,3.4236,3.37031550802,2.5336,2.9626,2.932930075,0.292013395878,0.84361178172
29,2119,0.079754601227,2.403,3.4428,3.40992781065,2.5234,2.9626,2.930738,0.278169613313,0.85321239038
30,2145,0.0932400932401,2.4042,3.4428,3.410754,2.5234,2.9626,2.93108681234,0.3099708051,0.830907243495
31,2152,0.0934014869888,2.412,3.4428,3.37966567164,2.5216,2.947,2.93071473603,0.310337773477,0.830644701566
32,2113,0.0979649787033,2.4078,3.4416,3.33783768116,2.5216,2.9542,2.93199535677,0.32058842712,0.823264316698
33,2201,0.0867787369378,2.4078,3.4344,3.34188691099,2.5414,2.9542,2.93165507463,0.295020953915,0.841503624494
34,2136,0.0931647940075,2.4066,3.4008,3.31829246231,2.5414,2.9542,2.93057604543,0.309799488404,0.83102976967
35,2115,0.0903073286052,2.4066,3.4344,3.35601675393,2.5264,2.9602,2.93357234927,0.307296473738,0.834836387617
36,2179,0.0991280403855,2.4084,3.4578,3.39768055556,2.518,2.9602,2.93325616403,0.32316284737,0.82139665601
37,2080,0.115865384615,2.4114,3.46185,3.39307593361,2.506,2.9602,2.93286378467,0.358605299129,0.795118805473
38,2176,0.102022058824,2.4114,3.4638,3.35898378378,2.506,2.9644,2.93620406858,0.329503310328,0.816772883326
39,2110,0.109478672986,2.4114,3.474,3.38843896104,2.5042,2.9644,2.93395846195,0.34542398712,0.805013813706
40,2163,0.107258437356,2.4222,3.474,3.36518793103,2.92,2.9644,2.93577936302,0.340744769182,0.808491870057
41,2114,0.103595080416,2.4138,3.477,3.39964383562,2.92,2.962,2.93541469657,0.332911120298,0.81427372054
42,2081,0.102354637194,2.4024,3.477,3.3764,2.9224,2.962,2.93544710921,0.330226050712,0.816243669123
43,2144,0.100746268657,2.4072,3.4854,3.38307222222,2.9224,2.962,2.93525238589,0.326719606058,0.818807083983
