Time,PopulationSize,CooperatorProportion,MinCooperatorFitness,MaxCooperatorFitness,MeanCooperatorFitness,MinDefectorFitness,MaxDefectorFitness,MeanDefectorFitness,ShannonIndex,SimpsonIndex
0,2128,0.0953947368421,3.6,3.6,3.6,2.98,2.98,2.98,0.314844704933,0.82741083795
1,2073,0.0921369995176,3.4782,3.6,3.48776544503,2.9236,2.98,2.93635462274,0.307454376174,0.832704454325
2,2109,0.0877192982456,2.4876,3.6,3.36521513514,2.5444,2.98,2.93207796258,0.297229111196,0.839950754078
3,2118,0.100094428706,2.49,3.4782,3.31633301887,2.5444,2.98,2.93066967471,0.325290404942,0.819848931903
4,2267,0.0948389942655,2.4036,3.408,3.19796651163,2.56,2.98,2.93257807018,0.313592783125,0.828310881136
5,2074,0.111861137898,2.4552,3.375,3.17176551724,2.5834,2.9566,2.92822052117,0.350388890429,0.801303552548
6,2193,0.0870953032376,2.4198,3.3378,3.08013612565,2.5834,2.9788,2.93646013986,0.295765398018,0.840980577217
7,2203,0.107126645483,2.4036,3.3366,3.13233050847,2.5984,2.9824,2.93385216065,0.340465404107,0.808698945378
8,2226,0.107367475292,2.4066,3.3822,3.17505690377,2.5558,2.9824,2.93430639155,0.340975764602,0.808320598917
9,2152,0.105483271375,2.412,3.3822,3.13453215859,2.5558,2.9824,2.93492675325,0.336966557942,0.811286898329
10,2168,0.0987084870849,2.4054,3.3822,3.15918504673,2.5612,2.9782,2.93675823951,0.32223592708,0.822069756675
11,2235,0.10514541387,2.4048,3.402,3.20534553191,2.5516,2.9782,2.9343649,0.336243703957,0.811820288375
12,2111,0.105163429654,2.4024,3.402,3.16054324324,2.5516,2.9782,2.93221725781,0.336282279736,0.811791834565
13,2160,0.0916666666667,2.4036,3.402,3.14146969697,2.5516,2.9782,2.93626238532,0.306377016417,0.833472222222
14,2126,0.108184383819,2.4072,3.402,3.14790521739,2.5864,2.9698,2.9342693038,0.342702435821,0.807038954166
15,2225,0.0993258426966,2.4198,3.3474,3.12064886878,2.5726,2.9872,2.93752035928,0.323599168401,0.821079560662
16,2207,0.112369732669,2.4072,3.3468,3.07136129032,2.6092,2.9872,2.93396355283,0.35144133249,0.800514448303
17,2216,0.100631768953,2.4066,3.3468,3.07029147982,2.6008,2.9884,2.93772875063,0.3264688984,0.818989967939
18,2189,0.104157149383,2.4066,3.3468,3.03557631579,2.6008,2.9884,2.933863641,0.334122311971,0.813383124769
19,2238,0.108132260947,2.4054,3.2532,3.01893719008,2.6008,2.9884,2.93449679359,0.342592472587,0.807120649821
20,2275,0.108571428571,2.4024,3.2592,3.02049230769,2.6284,2.9884,2.93396153846,0.343518101152,0.806432653061
21,2178,0.102846648301,2.4066,3.2766,3.05096517857,2.6194,2.9776,2.93498403275,0.331293054401,0.815461569531
22,2211,0.102668475803,2.4084,3.2766,3.04424669604,2.6194,2.9776,2.93567197581,0.330906962833,0.815744680242
23,2195,0.100227790433,2.424,3.3186,3.13410818182,2.593,2.974,2.93267351899,0.325583192054,0.819635639084
24,2215,0.0907449209932,2.4054,3.3186,3.05566865672,2.6068,2.974,2.93494786495,0.304257919002,0.834979439386
25,2142,0.108309990663,2.4042,3.3684,3.11745258621,2.5738,2.971,2.93469340314,0.342967311972,0.806842126829
26,2235,0.124832214765,2.406,3.3816,3.08891397849,2.5612,2.971,2.93502944785,0.376443537521,0.781501734156
27,2283,0.116075339466,2.4066,3.3816,3.06477735849,2.5612,2.9686,2.93537879088,0.359031750196,0.794796289933
28,2291,0.116979484941,2.4054,3.3816,3.04984701493,2.575,2.9686,2.93596302521,0.360863310403,0.793409429912
29,2276,0.116871704745,2.4048,3.3924,3.14490451128,2.5594,2.9692,2.93832059701,0.360645392675,0.79357458125
30,2229,0.119784656797,2.4048,3.429,3.23995505618,2.5264,2.9692,2.93487033639,0.366495715298,0.789127414414
31,2194,0.113947128532,2.4048,3.429,3.145716,2.5384,2.9674,2.93468703704,0.354689009867,0.798073639137
32,2251,0.110617503332,2.4036,3.429,3.14644819277,2.5384,2.9692,2.93498171828,0.347804432248,0.803237457423
33,2195,0.119362186788,2.4042,3.408,3.08218854962,2.5384,2.9818,2.93503321262,0.365652263871,0.789770289693
34,2198,0.123748862602,2.4078,3.444,3.17615073529,2.5252,2.9818,2.93816635514,0.374328383865,0.783129836786
35,2216,0.102436823105,2.4078,3.444,3.01585903084,2.5792,2.9818,2.93694177979,0.330404466816,0.816112959246
36,2228,0.114003590664,2.4036,3.444,3.03265984252,2.5792,2.9734,2.93580851064,0.354804800289,0.79798645604
37,2207,0.1073855913,2.4042,3.3522,3.09995443038,2.5756,2.9698,2.93640497462,0.341014131104,0.808292147837
38,2173,0.112747353889,2.4036,3.3522,3.09814530612,2.5912,2.9698,2.9360879668,0.352221071047,0.799929223841
39,2282,0.105609114812,2.4066,3.3762,3.11716182573,2.563,2.9692,2.93481303283,0.337235493496,0.811088340639
40,2116,0.093572778828,2.4096,3.3762,3.07328181818,2.563,2.971,2.93452043796,0.310726911117,0.830366172219
41,2139,0.0920991117345,2.4066,3.2958,3.10113502538,2.5912,2.971,2.93474788877,0.307367687282,0.832766269296
42,2196,0.0906193078324,2.4018,3.2982,3.12562914573,2.6068,2.9662,2.93476835253,0.303968338626,0.835185102239
43,2098,0.0919923736892,2.4036,3.2982,3.1128373057,2.6068,2.9632,2.93088661417,0.307123373674,0.832940446256
44,2154,0.100278551532,2.4138,3.2982,3.02032222222,2.6242,2.9608,2.93305510836,0.325694582958,0.819554472731
45,2156,0.0876623376623,2.4078,3.264,3.00731111111,2.6656,2.965,2.93571774276,0.297095700295,0.840044695564
46,2193,0.0925672594619,2.409,3.1788,3.00481182266,2.6656,2.965,2.9333878392,0.30843762712,0.832002876125
47,2154,0.0928505106778,2.4072,3.2292,3.04755,2.6428,2.965,2.93241637666,0.309083722983,0.831541413311
48,2149,0.100511865984,2.4078,3.3066,3.13713888889,2.5984,2.9686,2.93352002069,0.326206204521,0.819181538439
49,2236,0.0948121645796,2.4048,3.3066,3.08212075472,2.5984,2.9686,2.93204772727,0.31353225298,0.828354363945
50,2195,0.0847380410023,2.4054,3.3066,3.00332580645,2.6152,2.9644,2.93248203086,0.290191474838,0.844884989181
51,2268,0.0992063492063,2.4024,3.2886,2.97618666667,2.6458,2.9668,2.93335477239,0.323335636758,0.821271101033
52,2164,0.112292051756,2.4054,3.2136,2.99811604938,2.65,2.9704,2.93138313378,0.351280754379,0.800634906263
53,2222,0.108460846085,2.403,3.2574,2.98736016598,2.6152,2.9704,2.93543644624,0.343285215708,0.806605818098
54,2249,0.102267674522,2.4054,3.2574,2.95430347826,2.6152,2.9692,2.93613937593,0.330037184762,0.81638200546
55,2270,0.084140969163,2.4078,3.2574,2.95892670157,2.6638,2.9692,2.93418470418,0.288768352232,0.845877467057
56,2160,0.0875,2.412,3.1782,2.90917142857,2.6638,2.9692,2.93152085236,0.296715256584,0.8403125
57,2168,0.0784132841328,2.4072,3.1464,2.96012117647,2.6902,2.9674,2.93312402402,0.274876852967,0.855470717991
58,2250,0.0853333333333,2.4036,3.1464,2.9369625,2.6902,2.9674,2.93280116618,0.291605779924,0.843896888889
59,2127,0.0912082745651,2.4036,3.18,2.98887835052,2.6692,2.9674,2.93274216244,0.305324452169,0.834221349568
60,2185,0.0974828375286,2.4024,3.2736,3.08743943662,2.6224,2.9626,2.93505963489,0.319516735614,0.824040132168
61,2204,0.0875680580762,2.409,3.2736,3.00273264249,2.6224,2.9656,2.93297294878,0.296874793099,0.840200213438
62,2168,0.100092250923,2.4096,3.1848,3.02981751152,2.6572,2.9656,2.93265166581,0.32528562212,0.819852415544
