Time,PopulationSize,CooperatorProportion,MinCooperatorFitness,MaxCooperatorFitness,MeanCooperatorFitness,MinDefectorFitness,MaxDefectorFitness,MeanDefectorFitness,ShannonIndex,SimpsonIndex
0,2058,0.0796890184645,3.6,3.6,3.6,2.98,2.98,2.98,0.278009189165,0.853322642399
1,2156,0.0867346938776,3.5016,3.6,3.51001925134,2.9218,2.98,2.93686155409,0.294917281198,0.841576426489
2,2068,0.0894584139265,3.4878,3.6,3.49035567568,2.9182,2.98,2.93148061604,0.301282996701,0.837088787791
3,2099,0.0929013816103,3.4878,3.5016,3.48902461538,2.9182,2.98,2.93287195378,0.309199658578,0.83145857019
4,2048,0.0927734375,3.483,3.489,3.48366315789,2.9182,2.98,2.9325941873,0.308908013549,0.831666946411
5,2238,0.0929401251117,3.483,3.489,3.48571153846,2.9218,2.9428,2.93365192118,0.30928793498,0.831395483488
6,2126,0.0856067732832,3.4752,3.486,3.47607362637,2.9188,2.9416,2.92985277778,0.292253899482,0.843443492698
7,2110,0.0919431279621,3.4752,3.4908,3.48940824742,2.917,2.9416,2.93116106472,0.307010608743,0.833020821635
8,2057,0.0884783665532,3.4752,3.4908,3.48402857143,2.917,2.941,2.93224096,0.299003111065,0.838700109589
9,2123,0.0857277437588,3.4836,3.4908,3.49016703297,2.917,2.947,2.93306460587,0.292540324172,0.843243004582
10,2147,0.0982766651141,3.4908,3.4908,3.4908,2.9218,2.947,2.93173719008,0.321279835282,0.822763275584
11,2153,0.0970738504412,3.4734,3.4908,3.47598086124,2.9218,2.9416,2.93160432099,0.318605578395,0.824698963996
12,2132,0.0877110694184,3.4734,3.4908,3.47467700535,2.9218,2.9416,2.93144287918,0.297209840457,0.83996432456
13,2131,0.0896292820272,3.4746,3.4878,3.48648691099,2.9218,2.9434,2.93128309278,0.301679276984,0.836808252339
14,2136,0.0931647940075,3.4746,3.4878,3.48552060302,2.9236,2.9434,2.93163944244,0.309799488404,0.83102976967
15,2081,0.0913022585296,3.4722,3.4878,3.47340631579,2.923,2.9434,2.9317943945,0.305540465248,0.834067687766
16,2117,0.0996693434105,3.4722,3.4878,3.48456966825,2.9188,2.9452,2.93263210913,0.3243558386,0.820529269211
17,2153,0.092429168602,3.4674,3.486,3.4692241206,2.9188,2.9452,2.93244278403,0.308122295773,0.832227965213
