Time,PopulationSize,CooperatorProportion,MinCooperatorFitness,MaxCooperatorFitness,MeanCooperatorFitness,MinDefectorFitness,MaxDefectorFitness,MeanDefectorFitness,ShannonIndex,SimpsonIndex
0,9,0.333333333333,0.9,0.9,0.9,1.0,1.0,1.0,0,0
1,1108,0.573104693141,0.9,0.9,0.9,1.0,1.0,1.0,0,0
2,2120,0.585849056604,0.9,0.9,0.9,1.0,1.0,1.0,0,0
3,3660,0.56174863388,0.9,0.9,0.9,1.0,1.0,1.0,0,0
4,6324,0.538108791904,0.9,0.9,0.9,1.0,1.0,1.0,0,0
5,10812,0.5867554569,0.9,0.9,0.9,1.0,1.0,1.0,0,0
6,15268,0.603549908305,0.9,0.9,0.9,1.0,1.0,1.0,0,0
7,20664,0.579413472706,0.9,0.9,0.9,1.0,1.0,1.0,0,0
8,28630,0.608452672022,0.9,0.9,0.9,1.0,1.0,1.0,0,0
9,35182,0.604428400887,0.9,0.9,0.9,1.0,1.0,1.0,0,0
10,42813,0.612080442856,0.9,0.9,0.9,1.0,1.0,1.0,0,0
11,48434,0.608085229384,0.9,0.9,0.9,1.0,1.0,1.0,0,0
12,54809,0.6074732252,0.9,0.9,0.9,1.0,1.0,1.0,0,0
13,59617,0.609859603804,0.9,0.9,0.9,1.0,1.0,1.0,0,0
14,64467,0.613057843548,0.9,0.9,0.9,1.0,1.0,1.0,0,0
15,69120,0.619777199074,0.9,0.9,0.9,1.0,1.0,1.0,0,0
16,72882,0.622156362339,0.9,0.9,0.9,1.0,1.0,1.0,0,0
17,75760,0.62378563886,0.9,0.9,0.9,1.0,1.0,1.0,0,0
18,76901,0.620616116826,0.9,0.9,0.9,1.0,1.0,1.0,0,0
19,78353,0.622082115554,0.9,0.9,0.9,1.0,1.0,1.0,0,0
20,79526,0.618527274099,0.9,0.9,0.9,1.0,1.0,1.0,0,0
21,79810,0.615749906027,0.9,0.9,0.9,1.0,1.0,1.0,0,0
22,80480,0.614140159046,0.9,0.9,0.9,1.0,1.0,1.0,0,0
23,81408,0.616904972484,0.9,0.9,0.9,1.0,1.0,1.0,0,0
24,81842,0.61378021065,0.9,0.9,0.9,1.0,1.0,1.0,0,0
25,81790,0.608497371317,0.9,0.9,0.9,1.0,1.0,1.0,0,0
26,82770,0.61148967017,0.9,0.9,0.9,1.0,1.0,1.0,0,0
27,82254,0.604517713424,0.9,0.9,0.9,1.0,1.0,1.0,0,0
28,82280,0.601677199806,0.9,0.9,0.9,1.0,1.0,1.0,0,0
29,82164,0.598632004284,0.9,0.9,0.9,1.0,1.0,1.0,0,0
30,81598,0.592955709699,0.9,0.9,0.9,1.0,1.0,1.0,0,0
31,81322,0.587270357345,0.9,0.9,0.9,1.0,1.0,1.0,0,0
32,80730,0.584714480367,0.9,0.9,0.9,1.0,1.0,1.0,0,0
33,81044,0.581955480973,0.9,0.9,0.9,1.0,1.0,1.0,0,0
34,81118,0.576851007175,0.9,0.9,0.9,1.0,1.0,1.0,0,0
35,80622,0.575736151423,0.9,0.9,0.9,1.0,1.0,1.0,0,0
36,79905,0.567010825355,0.9,0.9,0.9,1.0,1.0,1.0,0,0
37,79474,0.561265319476,0.9,0.9,0.9,1.0,1.0,1.0,0,0
38,79346,0.559234239911,0.9,0.9,0.9,1.0,1.0,1.0,0,0
39,78806,0.554386721823,0.9,0.9,0.9,1.0,1.0,1.0,0,0
40,78982,0.548884555975,0.9,0.9,0.9,1.0,1.0,1.0,0,0
41,78755,0.548092184623,0.9,0.9,0.9,1.0,1.0,1.0,0,0
42,78208,0.541427986907,0.9,0.9,0.9,1.0,1.0,1.0,0,0
43,77714,0.534652700929,0.9,0.9,0.9,1.0,1.0,1.0,0,0
44,77814,0.52691032462,0.9,0.9,0.9,1.0,1.0,1.0,0,0
45,76865,0.524243804072,0.9,0.9,0.9,1.0,1.0,1.0,0,0
46,76919,0.520053562839,0.9,0.9,0.9,1.0,1.0,1.0,0,0
47,76390,0.513980887551,0.9,0.9,0.9,1.0,1.0,1.0,0,0
48,75890,0.505086309132,0.9,0.9,0.9,1.0,1.0,1.0,0,0
49,75130,0.505337415147,0.9,0.9,0.9,1.0,1.0,1.0,0,0
50,75568,0.498015032818,0.9,0.9,0.9,1.0,1.0,1.0,0,0
51,75002,0.495746780086,0.9,0.9,0.9,1.0,1.0,1.0,0,0
52,74871,0.490430206622,0.9,0.9,0.9,1.0,1.0,1.0,0,0
53,74339,0.484846446683,0.9,0.9,0.9,1.0,1.0,1.0,0,0
54,74174,0.477053954216,0.9,0.9,0.9,1.0,1.0,1.0,0,0
55,73671,0.471135182093,0.9,0.9,0.9,1.0,1.0,1.0,0,0
56,73353,0.465366106362,0.9,0.9,0.9,1.0,1.0,1.0,0,0
57,73063,0.461957488743,0.9,0.9,0.9,1.0,1.0,1.0,0,0
58,72323,0.457060686089,0.9,0.9,0.9,1.0,1.0,1.0,0,0
59,72570,0.449152542373,0.9,0.9,0.9,1.0,1.0,1.0,0,0
60,71981,0.444506189133,0.9,0.9,0.9,1.0,1.0,1.0,0,0
61,71530,0.436614008108,0.9,0.9,0.9,1.0,1.0,1.0,0,0
62,71292,0.431128317343,0.9,0.9,0.9,1.0,1.0,1.0,0,0
63,70769,0.424564427927,0.9,0.9,0.9,1.0,1.0,1.0,0,0
64,70775,0.418919109855,0.9,0.9,0.9,1.0,1.0,1.0,0,0
65,70410,0.412143161483,0.9,0.9,0.9,1.0,1.0,1.0,0,0
66,69752,0.406870053905,0.9,0.9,0.9,1.0,1.0,1.0,0,0
67,69966,0.401023354201,0.9,0.9,0.9,1.0,1.0,1.0,0,0
68,68757,0.394243495208,0.9,0.9,0.9,1.0,1.0,1.0,0,0
69,68651,0.384058498784,0.9,0.9,0.9,1.0,1.0,1.0,0,0
70,68634,0.381822420375,0.9,0.9,0.9,1.0,1.0,1.0,0,0
71,68002,0.376635981295,0.9,0.9,0.9,1.0,1.0,1.0,0,0
72,68253,0.372965290903,0.9,0.9,0.9,1.0,1.0,1.0,0,0
73,67520,0.364351303318,0.9,0.9,0.9,1.0,1.0,1.0,0,0
74,67342,0.358156870898,0.9,0.9,0.9,1.0,1.0,1.0,0,0
75,67183,0.353288778411,0.9,0.9,0.9,1.0,1.0,1.0,0,0
76,66387,0.345655022821,0.9,0.9,0.9,1.0,1.0,1.0,0,0
77,66297,0.341689669216,0.9,0.9,0.9,1.0,1.0,1.0,0,0
78,65818,0.334042359233,0.9,0.9,0.9,1.0,1.0,1.0,0,0
79,65923,0.330294434416,0.9,0.9,0.9,1.0,1.0,1.0,0,0
80,65514,0.324266568978,0.9,0.9,0.9,1.0,1.0,1.0,0,0
81,65233,0.312679165453,0.9,0.9,0.9,1.0,1.0,1.0,0,0
82,64715,0.306173221046,0.9,0.9,0.9,1.0,1.0,1.0,0,0
83,64049,0.299130353323,0.9,0.9,0.9,1.0,1.0,1.0,0,0
84,63820,0.28923534942,0.9,0.9,0.9,1.0,1.0,1.0,0,0
85,63645,0.283070154765,0.9,0.9,0.9,1.0,1.0,1.0,0,0
86,63327,0.274527452745,0.9,0.9,0.9,1.0,1.0,1.0,0,0
87,62435,0.267558260591,0.9,0.9,0.9,1.0,1.0,1.0,0,0
88,62598,0.259225534362,0.9,0.9,0.9,1.0,1.0,1.0,0,0
89,61689,0.255928933846,0.9,0.9,0.9,1.0,1.0,1.0,0,0
90,62367,0.24605961486,0.9,0.9,0.9,1.0,1.0,1.0,0,0
91,61947,0.242788189904,0.9,0.9,0.9,1.0,1.0,1.0,0,0
92,61214,0.234946254125,0.9,0.9,0.9,1.0,1.0,1.0,0,0
93,61032,0.229912177219,0.9,0.9,0.9,1.0,1.0,1.0,0,0
94,60307,0.219593082063,0.9,0.9,0.9,1.0,1.0,1.0,0,0
95,60268,0.213197716865,0.9,0.9,0.9,1.0,1.0,1.0,0,0
96,59718,0.205633142436,0.9,0.9,0.9,1.0,1.0,1.0,0,0
97,59181,0.199168652101,0.9,0.9,0.9,1.0,1.0,1.0,0,0
98,59450,0.194735071489,0.9,0.9,0.9,1.0,1.0,1.0,0,0
99,58779,0.187618026846,0.9,0.9,0.9,1.0,1.0,1.0,0,0
100,58572,0.181417742266,0.9,0.9,0.9,1.0,1.0,1.0,0,0
101,58773,0.17434876559,0.9,0.9,0.9,1.0,1.0,1.0,0,0
102,58190,0.169101220141,0.9,0.9,0.9,1.0,1.0,1.0,0,0
103,57928,0.162149564977,0.9,0.9,0.9,1.0,1.0,1.0,0,0
104,56920,0.155903021785,0.9,0.9,0.9,1.0,1.0,1.0,0,0
105,57182,0.14842083173,0.9,0.9,0.9,1.0,1.0,1.0,0,0
106,56892,0.142128946073,0.9,0.9,0.9,1.0,1.0,1.0,0,0
107,56560,0.140152050919,0.9,0.9,0.9,1.0,1.0,1.0,0,0
108,56355,0.133776949694,0.9,0.9,0.9,1.0,1.0,1.0,0,0
109,56529,0.131773072228,0.9,0.9,0.9,1.0,1.0,1.0,0,0
110,56190,0.127709556861,0.9,0.9,0.9,1.0,1.0,1.0,0,0
111,56134,0.122171945701,0.9,0.9,0.9,1.0,1.0,1.0,0,0
112,55532,0.11876035439,0.9,0.9,0.9,1.0,1.0,1.0,0,0
113,55137,0.11516767325,0.9,0.9,0.9,1.0,1.0,1.0,0,0
114,55360,0.108869219653,0.9,0.9,0.9,1.0,1.0,1.0,0,0
115,55252,0.106041410266,0.9,0.9,0.9,1.0,1.0,1.0,0,0
116,55111,0.103028433525,0.9,0.9,0.9,1.0,1.0,1.0,0,0
117,54792,0.0978062490875,0.9,0.9,0.9,1.0,1.0,1.0,0,0
118,54689,0.0949733950155,0.9,0.9,0.9,1.0,1.0,1.0,0,0
119,54297,0.0900602243218,0.9,0.9,0.9,1.0,1.0,1.0,0,0
120,54895,0.0847436014209,0.9,0.9,0.9,1.0,1.0,1.0,0,0
121,53965,0.082294079496,0.9,0.9,0.9,1.0,1.0,1.0,0,0
122,54108,0.0802099504694,0.9,0.9,0.9,1.0,1.0,1.0,0,0
123,53751,0.077114844375,0.9,0.9,0.9,1.0,1.0,1.0,0,0
124,53809,0.0718281328402,0.9,0.9,0.9,1.0,1.0,1.0,0,0
125,53721,0.0678133318442,0.9,0.9,0.9,1.0,1.0,1.0,0,0
126,53187,0.0644330381484,0.9,0.9,0.9,1.0,1.0,1.0,0,0
127,53789,0.0612206956813,0.9,0.9,0.9,1.0,1.0,1.0,0,0
128,53191,0.0586753398131,0.9,0.9,0.9,1.0,1.0,1.0,0,0
129,52614,0.0561827650435,0.9,0.9,0.9,1.0,1.0,1.0,0,0
130,52959,0.0530410317415,0.9,0.9,0.9,1.0,1.0,1.0,0,0
131,52895,0.0522544663957,0.9,0.9,0.9,1.0,1.0,1.0,0,0
132,52371,0.0488438257814,0.9,0.9,0.9,1.0,1.0,1.0,0,0
133,52245,0.0460522538042,0.9,0.9,0.9,1.0,1.0,1.0,0,0
134,51971,0.0421966096477,0.9,0.9,0.9,1.0,1.0,1.0,0,0
135,52308,0.04186740078,0.9,0.9,0.9,1.0,1.0,1.0,0,0
136,52225,0.0400382958353,0.9,0.9,0.9,1.0,1.0,1.0,0,0
137,51995,0.0361957880565,0.9,0.9,0.9,1.0,1.0,1.0,0,0
138,52130,0.0349127182045,0.9,0.9,0.9,1.0,1.0,1.0,0,0
139,51498,0.0340207386695,0.9,0.9,0.9,1.0,1.0,1.0,0,0
140,51716,0.0311315646995,0.9,0.9,0.9,1.0,1.0,1.0,0,0
141,51545,0.0276845474828,0.9,0.9,0.9,1.0,1.0,1.0,0,0
142,51274,0.0271872684011,0.9,0.9,0.9,1.0,1.0,1.0,0,0
143,51149,0.0258656083208,0.9,0.9,0.9,1.0,1.0,1.0,0,0
144,51230,0.0242436072614,0.9,0.9,0.9,1.0,1.0,1.0,0,0
145,51301,0.0223777314282,0.9,0.9,0.9,1.0,1.0,1.0,0,0
146,50720,0.021332807571,0.9,0.9,0.9,1.0,1.0,1.0,0,0
147,51301,0.0201555525233,0.9,0.9,0.9,1.0,1.0,1.0,0,0
148,50855,0.0186608986334,0.9,0.9,0.9,1.0,1.0,1.0,0,0
149,50928,0.016513509268,0.9,0.9,0.9,1.0,1.0,1.0,0,0
150,50414,0.0149363272107,0.9,0.9,0.9,1.0,1.0,1.0,0,0
151,50529,0.0136555245503,0.9,0.9,0.9,1.0,1.0,1.0,0,0
