Time,PopulationSize,CooperatorProportion,MinCooperatorFitness,MaxCooperatorFitness,MeanCooperatorFitness,MinDefectorFitness,MaxDefectorFitness,MeanDefectorFitness,ShannonIndex,SimpsonIndex
0,9,0.444444444444,0.9,0.9,0.9,1.0,1.0,1.0,-0.0,1.0
1,1201,0.658617818485,0.9,0.9,0.9,1.0,1.0,1.0,-0.0,1.0
2,1246,0.669341894061,0.9,0.9,0.9,1.0,1.0,1.0,-0.0,1.0
3,1301,0.614911606457,0.9,0.9,0.9,1.0,1.0,1.0,-0.0,1.0
4,1297,0.655358519661,0.9,0.9,0.9,1.0,1.0,1.0,-0.0,1.0
5,1406,0.600995732575,0.9,0.9,0.9,1.0,1.0,1.0,-0.0,1.0
6,1384,0.583815028902,0.9,0.9,0.9,1.0,1.0,1.0,-0.0,1.0
7,1616,0.658415841584,0.9,0.9,0.9,1.0,1.0,1.0,-0.0,1.0
8,1536,0.613932291667,0.9,0.9,0.9,1.0,1.0,1.0,-0.0,1.0
9,1645,0.589665653495,0.9,0.90015,0.900027835052,1.0,1.0,1.0,-0.0,1.0
10,1933,0.617175375065,0.9,0.90015,0.900002011735,1.0,1.0,1.0,-0.0,1.0
11,2141,0.665109761794,0.9,0.90015,0.900000210674,1.0,1.0,1.0,-0.0,1.0
12,2197,0.648156577151,0.9,0.90015,0.900041713483,1.0,1.0,1.0,-0.0,1.0
13,2432,0.657894736842,0.9,0.90015,0.90000384375,1.0,1.0,1.0,-0.0,1.0
14,2523,0.684898929845,0.9,0.90015,0.900000520833,1.0,1.0,1.0,-0.0,1.0
15,2807,0.717135732098,0.9,0.90015,0.900000074516,1.0,1.0,1.0,-0.0,1.0
16,2933,0.694169792022,0.9,0.9,0.9,1.0,1.0,1.0,-0.0,1.0
17,2838,0.69978858351,0.9,0.90015,0.900012915408,1.0,1.0,1.0,-0.0,1.0
18,3117,0.709977542509,0.9,0.90015,0.900001491188,1.0,1.0,1.0,-0.0,1.0
19,3196,0.688986232791,0.9,0.90015,0.90000006812,1.0,1.0,1.0,-0.0,1.0
20,3374,0.71695317131,0.9,0.9,0.9,1.0,1.0,1.0,-0.0,1.0
21,3887,0.713403653203,0.9,0.9,0.9,1.0,1.0,1.0,-0.0,1.0
22,4108,0.719571567673,0.9,0.9,0.9,1.0,1.0,1.0,-0.0,1.0
23,4507,0.744619480808,0.9,0.9,0.9,1.0,1.0,1.0,-0.0,1.0
24,4702,0.731816248405,0.9,0.9,0.9,1.0,1.0,1.0,-0.0,1.0
25,5187,0.7665317139,0.9,0.9,0.9,1.0,1.00015,1.0000097853,-0.0,1.0
26,5197,0.761785645565,0.9,0.9,0.9,1.0,1.00015,1.00000084814,-0.0,1.0
